claim_id,qkey,value,unit,category,file,line,quoted_context
L2-030,kdist_ultra_k20_count,2,frequent itemsets K=20,deterministic,beyond_mining.log,30,[per-K] K=20: 0 candidates -> 2 frequent (13ms)
L2-031,run_ultra_time_s,281.0,"s (total, '4.7 min')",hardware-dependent,beyond_mining.log,32,>>> COMPLETE in 281.0s (4.7 min)
L2-032,run_ultra_itemsets,"14,558,875",itemsets (total),deterministic,beyond_mining.log,33,">>> Itemsets: 14,558,875"
L2-033,kdist_ultra_k1_count,"1,002",itemsets K=1,deterministic,beyond_mining.log,36,"[K-dist] K=1: 1,002"
L2-034,kdist_ultra_k2_count,"60,088",itemsets K=2,deterministic,beyond_mining.log,37,"[K-dist] K=2: 60,088"
L2-035,kdist_ultra_k3_count,"356,691",itemsets K=3,deterministic,beyond_mining.log,38,"[K-dist] K=3: 356,691"
L2-036,kdist_ultra_k4_count,"894,903",itemsets K=4,deterministic,beyond_mining.log,39,"[K-dist] K=4: 894,903"
L2-037,kdist_ultra_k5_count,"1,421,780",itemsets K=5,deterministic,beyond_mining.log,40,"[K-dist] K=5: 1,421,780"
L2-038,kdist_ultra_k6_count,"1,794,852",itemsets K=6,deterministic,beyond_mining.log,41,"[K-dist] K=6: 1,794,852"
L2-039,kdist_ultra_k7_count,"2,006,312",itemsets K=7,deterministic,beyond_mining.log,42,"[K-dist] K=7: 2,006,312"
L2-040,kdist_ultra_k8_count,"2,053,858",itemsets K=8,deterministic,beyond_mining.log,43,"[K-dist] K=8: 2,053,858"
L2-041,kdist_ultra_k9_count,"1,912,672",itemsets K=9,deterministic,beyond_mining.log,44,"[K-dist] K=9: 1,912,672"
L2-042,kdist_ultra_k10_count,"1,587,145",itemsets K=10,deterministic,beyond_mining.log,45,"[K-dist] K=10: 1,587,145"
L2-043,kdist_ultra_k11_count,"1,148,998",itemsets K=11,deterministic,beyond_mining.log,46,"[K-dist] K=11: 1,148,998"
L2-044,kdist_ultra_k12_count,"712,433",itemsets K=12,deterministic,beyond_mining.log,47,"[K-dist] K=12: 712,433"
L2-045,kdist_ultra_k13_count,"371,981",itemsets K=13,deterministic,beyond_mining.log,48,"[K-dist] K=13: 371,981"
L2-046,kdist_ultra_k14_count,"160,675",itemsets K=14,deterministic,beyond_mining.log,49,"[K-dist] K=14: 160,675"
L2-047,kdist_ultra_k15_count,"56,221",itemsets K=15,deterministic,beyond_mining.log,50,"[K-dist] K=15: 56,221"
L2-048,kdist_ultra_k16_count,"15,501",itemsets K=16,deterministic,beyond_mining.log,51,"[K-dist] K=16: 15,501"
L2-049,kdist_ultra_k17_count,"3,236",itemsets K=17,deterministic,beyond_mining.log,52,"[K-dist] K=17: 3,236"
L2-050,kdist_ultra_k18_count,480,itemsets K=18,deterministic,beyond_mining.log,53,[K-dist] K=18: 480
L2-051,kdist_ultra_k19_count,45,itemsets K=19,deterministic,beyond_mining.log,54,[K-dist] K=19: 45
L2-052,kdist_ultra_k20_count,2,itemsets K=20,deterministic,beyond_mining.log,55,[K-dist] K=20: 2
L2-053,run_ultra_bytes,"49,989,864",bytes (output parquet),software,beyond_mining.log,57,">>> Saved to /root/alphafold-data/full_214m/itemsets_214m_beyond.parquet (49,989,864 bytes)"
L2-054,run_blitz_support,1e-06,min_support (0.0001%),method-parameter,direct_mining.log,3,>>> Support: 1e-06 (0.0001%)
L2-055,run_blitz_max_length,20,max K (max_length),method-parameter,direct_mining.log,4,>>> Max K: 20
L2-056,dataset_plddt_pass,"205,620,298",transactions (total in parquet),deterministic,direct_mining.log,8,"Total transactions: 205,620,298"
L2-057,dataset_multi_feature,"76,890,945",transactions with >1 item,deterministic,direct_mining.log,9,"With >1 item: 76,890,945"
L2-058,run_blitz_min_count_nominal,76,min support count (script-computed),method-parameter,direct_mining.log,10,Min support count: 76 proteins
L2-059,run_blitz_load_time_s,0.5,s (parquet load),hardware-dependent,direct_mining.log,11,Load time: 0.5s
L2-060,meta_log_blitz_start_timestamp,"2026-02-09 05:46:42,182","timestamp (run start, Direct CSR path)",external-fact,direct_mining.log,14,"2026-02-09 05:46:42,182 Direct CSR path: 76,890,945 transactions, min_count=77"
L2-061,dataset_multi_feature,"76,890,945",transactions,deterministic,direct_mining.log,14,"2026-02-09 05:46:42,182 Direct CSR path: 76,890,945 transactions, min_count=77"
L2-062,run_blitz_min_count,77,min_count,method-parameter,direct_mining.log,14,"2026-02-09 05:46:42,182 Direct CSR path: 76,890,945 transactions, min_count=77"
L2-063,vocab_items_frequent,1002,frequent items (K=1),deterministic,direct_mining.log,15,"2026-02-09 05:46:42,549 Direct CSR path: 1002 frequent items"
L2-064,csr_nnz,"316,421,093",non-zeros (CSR nnz),deterministic,direct_mining.log,16,"2026-02-09 05:46:43,300 Direct CSR path: 316,421,093 non-zeros"
L2-065,kdist_blitz_k1_count,"1,002",frequent itemsets K=1,deterministic,direct_mining.log,17,"[per-K] K=1: 1,002 candidates → 1,002 frequent (289ms)"
L2-066,kdist_blitz_k2_count,"39,125",frequent itemsets K=2,deterministic,direct_mining.log,18,"[per-K] K=2: 501,501 candidates → 39,125 frequent (1950ms)"
L2-067,kdist_blitz_k3_count,"184,900",frequent itemsets K=3,deterministic,direct_mining.log,19,"[per-K] K=3: 0 candidates → 184,900 frequent (25790ms)"
L2-068,kdist_blitz_k4_count,"361,696",frequent itemsets K=4,deterministic,direct_mining.log,20,"[per-K] K=4: 0 candidates → 361,696 frequent (14559ms)"
L2-069,kdist_blitz_k5_count,"445,661",frequent itemsets K=5,deterministic,direct_mining.log,21,"[per-K] K=5: 0 candidates → 445,661 frequent (10831ms)"
L2-070,kdist_blitz_k6_count,"439,605",frequent itemsets K=6,deterministic,direct_mining.log,22,"[per-K] K=6: 0 candidates → 439,605 frequent (6881ms)"
L2-071,kdist_blitz_k7_count,"387,030",frequent itemsets K=7,deterministic,direct_mining.log,23,"[per-K] K=7: 0 candidates → 387,030 frequent (5693ms)"
L2-072,kdist_blitz_k8_count,"318,349",frequent itemsets K=8,deterministic,direct_mining.log,24,"[per-K] K=8: 0 candidates → 318,349 frequent (1701ms)"
L2-073,kdist_blitz_k9_count,"247,680",frequent itemsets K=9,deterministic,direct_mining.log,25,"[per-K] K=9: 0 candidates → 247,680 frequent (1204ms)"
L2-074,kdist_blitz_k10_count,"179,604",frequent itemsets K=10,deterministic,direct_mining.log,26,"[per-K] K=10: 0 candidates → 179,604 frequent (871ms)"
L2-075,kdist_blitz_k11_count,"117,783",frequent itemsets K=11,deterministic,direct_mining.log,27,"[per-K] K=11: 0 candidates → 117,783 frequent (596ms)"
L2-076,kdist_blitz_k12_count,"67,558",frequent itemsets K=12,deterministic,direct_mining.log,28,"[per-K] K=12: 0 candidates → 67,558 frequent (352ms)"
L2-077,kdist_blitz_k13_count,"32,831",frequent itemsets K=13,deterministic,direct_mining.log,29,"[per-K] K=13: 0 candidates → 32,831 frequent (179ms)"
L2-078,kdist_blitz_k14_count,"13,105",frequent itemsets K=14,deterministic,direct_mining.log,30,"[per-K] K=14: 0 candidates → 13,105 frequent (75ms)"
L2-079,kdist_blitz_k15_count,"4,155",frequent itemsets K=15,deterministic,direct_mining.log,31,"[per-K] K=15: 0 candidates → 4,155 frequent (30ms)"
L2-080,kdist_blitz_k16_count,"1,003",frequent itemsets K=16,deterministic,direct_mining.log,32,"[per-K] K=16: 0 candidates → 1,003 frequent (14ms)"
L2-081,kdist_blitz_k17_count,173,frequent itemsets K=17,deterministic,direct_mining.log,33,[per-K] K=17: 0 candidates → 173 frequent (11ms)
L2-082,kdist_blitz_k18_count,19,frequent itemsets K=18,deterministic,direct_mining.log,34,[per-K] K=18: 0 candidates → 19 frequent (12ms)
L2-083,kdist_blitz_k19_count,1,frequent itemsets K=19,deterministic,direct_mining.log,35,[per-K] K=19: 0 candidates → 1 frequent (15ms)
L2-084,run_blitz_time_s,119.3,"s (mining, '2.0 min')",hardware-dependent,direct_mining.log,37,>>> MINING COMPLETE in 119.3s (2.0 min)
L2-085,run_blitz_total_time_s,120.6,"s (total, '2.0 min')",hardware-dependent,direct_mining.log,38,>>> Total time: 120.6s (2.0 min)
L2-086,run_blitz_itemsets,"2,841,280",itemsets (total),deterministic,direct_mining.log,39,">>> Itemsets found: 2,841,280"
L2-087,kdist_blitz_k1_count,"1,002",itemsets K=1,deterministic,direct_mining.log,42,"[K-dist] K=1: 1,002"
L2-088,kdist_blitz_k2_count,"39,125",itemsets K=2,deterministic,direct_mining.log,43,"[K-dist] K=2: 39,125"
L2-089,kdist_blitz_k3_count,"184,900",itemsets K=3,deterministic,direct_mining.log,44,"[K-dist] K=3: 184,900"
L2-090,kdist_blitz_k4_count,"361,696",itemsets K=4,deterministic,direct_mining.log,45,"[K-dist] K=4: 361,696"
L2-091,kdist_blitz_k5_count,"445,661",itemsets K=5,deterministic,direct_mining.log,46,"[K-dist] K=5: 445,661"
L2-092,kdist_blitz_k6_count,"439,605",itemsets K=6,deterministic,direct_mining.log,47,"[K-dist] K=6: 439,605"
L2-093,kdist_blitz_k7_count,"387,030",itemsets K=7,deterministic,direct_mining.log,48,"[K-dist] K=7: 387,030"
L2-094,kdist_blitz_k8_count,"318,349",itemsets K=8,deterministic,direct_mining.log,49,"[K-dist] K=8: 318,349"
L2-095,kdist_blitz_k9_count,"247,680",itemsets K=9,deterministic,direct_mining.log,50,"[K-dist] K=9: 247,680"
L2-096,kdist_blitz_k10_count,"179,604",itemsets K=10,deterministic,direct_mining.log,51,"[K-dist] K=10: 179,604"
L2-097,kdist_blitz_k11_count,"117,783",itemsets K=11,deterministic,direct_mining.log,52,"[K-dist] K=11: 117,783"
L2-098,kdist_blitz_k12_count,"67,558",itemsets K=12,deterministic,direct_mining.log,53,"[K-dist] K=12: 67,558"
L2-099,kdist_blitz_k13_count,"32,831",itemsets K=13,deterministic,direct_mining.log,54,"[K-dist] K=13: 32,831"
L2-100,kdist_blitz_k14_count,"13,105",itemsets K=14,deterministic,direct_mining.log,55,"[K-dist] K=14: 13,105"
L2-101,kdist_blitz_k15_count,"4,155",itemsets K=15,deterministic,direct_mining.log,56,"[K-dist] K=15: 4,155"
L2-102,kdist_blitz_k16_count,"1,003",itemsets K=16,deterministic,direct_mining.log,57,"[K-dist] K=16: 1,003"
L2-103,kdist_blitz_k17_count,173,itemsets K=17,deterministic,direct_mining.log,58,[K-dist] K=17: 173
L2-104,kdist_blitz_k18_count,19,itemsets K=18,deterministic,direct_mining.log,59,[K-dist] K=18: 19
L2-105,kdist_blitz_k19_count,1,itemsets K=19,deterministic,direct_mining.log,60,[K-dist] K=19: 1
L2-106,run_blitz_bytes,"12,177,502",bytes (output parquet),software,direct_mining.log,63,">>> File size: 12,177,502 bytes"
L2-107,run_power_support_pct,0.001,% support (on '214M TrEMBL'),method-parameter,extreme_mining.log,1,>>> EXTREME SUPPORT: 0.001% on 214M TrEMBL
L2-108,dataset_plddt_pass,"205,620,298",transactions (total in parquet),deterministic,extreme_mining.log,3,"Total transactions: 205,620,298"
L2-109,dataset_multi_feature,"76,890,945",transactions with >1 item,deterministic,extreme_mining.log,4,"With >1 item: 76,890,945"
L2-110,run_power_min_count,768,min support count (script-computed; '0.001%'),method-parameter,extreme_mining.log,5,Min support = 0.001% = 768 proteins
L2-111,run_power_support_pct,0.001,% support (banner),method-parameter,extreme_mining.log,7,>>> GPU-RESIDENT STREAMING APRIORI — 0.001% SUPPORT
L2-112,run_power_son_max_length,20,max length (banner),method-parameter,extreme_mining.log,8,>>> MAX LENGTH 20 — HUNTING FOR MEGA-COMPLEXES
L2-113,run_power_son_time_s,1085.6,s (mining),hardware-dependent,extreme_mining.log,12,Time: 1085.6s
L2-114,run_power_son_itemsets,"22,846",itemsets (total),deterministic,extreme_mining.log,13,"Itemsets: 22,846"
L2-115,kdist_power_son_k1_count,47,itemsets K=1,deterministic,extreme_mining.log,14,[K-dist] K=1: 47
L2-116,kdist_power_son_k2_count,990,itemsets K=2,deterministic,extreme_mining.log,15,[K-dist] K=2: 990
L2-117,kdist_power_son_k3_count,"3,392",itemsets K=3,deterministic,extreme_mining.log,16,"[K-dist] K=3: 3,392"
L2-118,kdist_power_son_k4_count,"5,147",itemsets K=4,deterministic,extreme_mining.log,17,"[K-dist] K=4: 5,147"
L2-119,kdist_power_son_k5_count,"5,024",itemsets K=5,deterministic,extreme_mining.log,18,"[K-dist] K=5: 5,024"
L2-120,kdist_power_son_k6_count,"3,847",itemsets K=6,deterministic,extreme_mining.log,19,"[K-dist] K=6: 3,847"
L2-121,kdist_power_son_k7_count,"2,433",itemsets K=7,deterministic,extreme_mining.log,20,"[K-dist] K=7: 2,433"
L2-122,kdist_power_son_k8_count,"1,253",itemsets K=8,deterministic,extreme_mining.log,21,"[K-dist] K=8: 1,253"
L2-123,kdist_power_son_k9_count,492,itemsets K=9,deterministic,extreme_mining.log,22,[K-dist] K=9: 492
L2-124,kdist_power_son_k10_count,160,itemsets K=10,deterministic,extreme_mining.log,23,[K-dist] K=10: 160
L2-125,kdist_power_son_k11_count,48,itemsets K=11,deterministic,extreme_mining.log,24,[K-dist] K=11: 48
L2-126,kdist_power_son_k12_count,11,itemsets K=12,deterministic,extreme_mining.log,25,[K-dist] K=12: 11
L2-127,kdist_power_son_k13_count,2,itemsets K=13,deterministic,extreme_mining.log,26,[K-dist] K=13: 2
L2-128,kdist_power_son_k13_count,2,itemsets K=13,deterministic,extreme_mining.log,31,[deepest-patterns header] --- K=13 (2 itemsets) ---
L2-129,pattern_power_son_k13_1_support_frac,0.000142,support (fraction),deterministic,extreme_mining.log,32,"[K=13 pattern] support=0.000142 (10,916 proteins) — plddt_mean_med + PF00271 + PF00270 + GO:0005524 + GO:0005737 + GO:0003677 + GO:0016787 + GO:0006281 + GO:0006310 + GO:0006260 + GO:0009432 …"
L2-130,pattern_power_son_k13_1_support,"10,916",proteins (itemset support count),deterministic,extreme_mining.log,32,"[K=13 pattern] support=0.000142 (10,916 proteins) — plddt_mean_med + PF00271 + PF00270 + GO:0005524 + GO:0005737 + GO:0003677 + GO:0016787 + GO:0006281 + GO:0006310 + GO:0006260 + GO:0009432 …"
L2-131,pattern_power_son_k13_2_support_frac,0.000142,support (fraction),deterministic,extreme_mining.log,34,"[K=13 pattern] support=0.000142 (10,913 proteins) — plddt_mean_med + PF00271 + PF00270 + GO:0005524 + GO:0046872 + GO:0005737 + GO:0003677 + GO:0016787 + GO:0006281 + GO:0006260 + GO:0009432 …"
L2-132,pattern_power_son_k13_2_support,"10,913",proteins (itemset support count),deterministic,extreme_mining.log,34,"[K=13 pattern] support=0.000142 (10,913 proteins) — plddt_mean_med + PF00271 + PF00270 + GO:0005524 + GO:0046872 + GO:0005737 + GO:0003677 + GO:0016787 + GO:0006281 + GO:0006260 + GO:0009432 …"
L2-133,kdist_power_son_k12_count,11,itemsets K=12,deterministic,extreme_mining.log,37,[deepest-patterns header] --- K=12 (11 itemsets) ---
L2-134,pattern_power_son_k12_1_support_frac,0.000143,support (fraction),deterministic,extreme_mining.log,38,"[K=12 pattern] support=0.000143 (11,007 proteins) — PF00271 + PF00270 + GO:0005524 + GO:0046872 + GO:0005737 + GO:0003677 + GO:0016787 + GO:0006281 + GO:0006310 + GO:0006260 + GO:0009432 …"
L2-135,pattern_power_son_k12_1_support,"11,007",proteins (itemset support count),deterministic,extreme_mining.log,38,"[K=12 pattern] support=0.000143 (11,007 proteins) — PF00271 + PF00270 + GO:0005524 + GO:0046872 + GO:0005737 + GO:0003677 + GO:0016787 + GO:0006281 + GO:0006310 + GO:0006260 + GO:0009432 …"
L2-136,pattern_power_son_k12_2_support_frac,0.000143,support (fraction),deterministic,extreme_mining.log,40,"[K=12 pattern] support=0.000143 (10,978 proteins) — plddt_mean_med + PF00271 + PF00270 + GO:0005524 + GO:0046872 + GO:0005737 + GO:0003677 + GO:0016787 + GO:0006281 + GO:0006310 + GO:0009432 …"
L2-137,pattern_power_son_k12_2_support,"10,978",proteins (itemset support count),deterministic,extreme_mining.log,40,"[K=12 pattern] support=0.000143 (10,978 proteins) — plddt_mean_med + PF00271 + PF00270 + GO:0005524 + GO:0046872 + GO:0005737 + GO:0003677 + GO:0016787 + GO:0006281 + GO:0006310 + GO:0009432 …"
L2-138,pattern_power_son_k12_3_support_frac,0.000142,support (fraction),deterministic,extreme_mining.log,42,"[K=12 pattern] support=0.000142 (10,913 proteins) — plddt_mean_med + PF00271 + PF00270 + GO:0005524 + GO:0046872 + GO:0005737 + GO:0016787 + GO:0006310 + GO:0006260 + GO:0009432 + GO:0043138 …"
L2-139,pattern_power_son_k12_3_support,"10,913",proteins (itemset support count),deterministic,extreme_mining.log,42,"[K=12 pattern] support=0.000142 (10,913 proteins) — plddt_mean_med + PF00271 + PF00270 + GO:0005524 + GO:0046872 + GO:0005737 + GO:0016787 + GO:0006310 + GO:0006260 + GO:0009432 + GO:0043138 …"
L2-140,pattern_power_son_k12_4_support_frac,0.000142,support (fraction),deterministic,extreme_mining.log,44,"[K=12 pattern] support=0.000142 (10,912 proteins) — plddt_mean_med + PF00270 + GO:0005524 + GO:0046872 + GO:0005737 + GO:0003677 + GO:0016787 + GO:0006281 + GO:0006310 + GO:0009432 + GO:0043138 …"
L2-141,pattern_power_son_k12_4_support,"10,912",proteins (itemset support count),deterministic,extreme_mining.log,44,"[K=12 pattern] support=0.000142 (10,912 proteins) — plddt_mean_med + PF00270 + GO:0005524 + GO:0046872 + GO:0005737 + GO:0003677 + GO:0016787 + GO:0006281 + GO:0006310 + GO:0009432 + GO:0043138 …"
L2-142,pattern_power_son_k12_5_support_frac,0.000136,support (fraction),deterministic,extreme_mining.log,46,"[K=12 pattern] support=0.000136 (10,494 proteins) — PF00905 + PF00912 + GO:0005886 + GO:0006508 + GO:0071555 + GO:0008360 + GO:0009252 + GO:0030288 + GO:0046677 + GO:0008658 + GO:0009002 …"
L2-143,pattern_k12_support,"10,494",proteins (itemset support count),deterministic,extreme_mining.log,46,"[K=12 pattern] support=0.000136 (10,494 proteins) — PF00905 + PF00912 + GO:0005886 + GO:0006508 + GO:0071555 + GO:0008360 + GO:0009252 + GO:0030288 + GO:0046677 + GO:0008658 + GO:0009002 …"
L2-144,kdist_power_son_k11_count,48,itemsets K=11,deterministic,extreme_mining.log,49,[deepest-patterns header] --- K=11 (48 itemsets) ---
L2-145,pattern_power_son_k11_1_support_frac,0.000230,support (fraction),deterministic,extreme_mining.log,50,"[K=11 pattern] support=0.000230 (17,686 proteins) — plddt_mean_med + PF00271 + PF00270 + GO:0005524 + GO:0005737 + GO:0003677 + GO:0016787 + GO:0006281 + GO:0006310 + GO:0043138 + GO:0043590"
L2-146,pattern_power_son_k11_1_support,"17,686",proteins (itemset support count),deterministic,extreme_mining.log,50,"[K=11 pattern] support=0.000230 (17,686 proteins) — plddt_mean_med + PF00271 + PF00270 + GO:0005524 + GO:0005737 + GO:0003677 + GO:0016787 + GO:0006281 + GO:0006310 + GO:0043138 + GO:0043590"
L2-147,pattern_power_son_k11_2_support_frac,0.000207,support (fraction),deterministic,extreme_mining.log,52,"[K=11 pattern] support=0.000207 (15,886 proteins) — plddt_mean_med + PF00004 + PF10431 + PF17871 + PF02861 + GO:0005524 + GO:0005737 + GO:0016887 + GO:0006508 + GO:0008233 + GO:0034605"
L2-148,pattern_power_son_k11_2_support,"15,886",proteins (itemset support count),deterministic,extreme_mining.log,52,"[K=11 pattern] support=0.000207 (15,886 proteins) — plddt_mean_med + PF00004 + PF10431 + PF17871 + PF02861 + GO:0005524 + GO:0005737 + GO:0016887 + GO:0006508 + GO:0008233 + GO:0034605"
L2-149,pattern_power_son_k11_3_support_frac,0.000207,support (fraction),deterministic,extreme_mining.log,54,"[K=11 pattern] support=0.000207 (15,886 proteins) — PF00004 + PF07724 + PF10431 + PF17871 + PF02861 + GO:0005524 + GO:0005737 + GO:0016887 + GO:0006508 + GO:0008233 + GO:0034605"
L2-150,pattern_power_son_k11_3_support,"15,886",proteins (itemset support count),deterministic,extreme_mining.log,54,"[K=11 pattern] support=0.000207 (15,886 proteins) — PF00004 + PF07724 + PF10431 + PF17871 + PF02861 + GO:0005524 + GO:0005737 + GO:0016887 + GO:0006508 + GO:0008233 + GO:0034605"
L2-151,pattern_power_son_k11_4_support_frac,0.000202,support (fraction),deterministic,extreme_mining.log,56,"[K=11 pattern] support=0.000202 (15,565 proteins) — PF00271 + PF00270 + GO:0005524 + GO:0046872 + GO:0005737 + GO:0003677 + GO:0016787 + GO:0006281 + GO:0006310 + GO:0043138 + GO:0043590"
L2-152,pattern_power_son_k11_4_support,"15,565",proteins (itemset support count),deterministic,extreme_mining.log,56,"[K=11 pattern] support=0.000202 (15,565 proteins) — PF00271 + PF00270 + GO:0005524 + GO:0046872 + GO:0005737 + GO:0003677 + GO:0016787 + GO:0006281 + GO:0006310 + GO:0043138 + GO:0043590"
L2-153,pattern_power_son_k11_5_support_frac,0.000197,support (fraction),deterministic,extreme_mining.log,58,"[K=11 pattern] support=0.000197 (15,167 proteins) — plddt_mean_med + PF00271 + PF00270 + GO:0046872 + GO:0005737 + GO:0003677 + GO:0016787 + GO:0006281 + GO:0006310 + GO:0043138 + GO:0043590"
L2-154,pattern_power_son_k11_5_support,"15,167",proteins (itemset support count),deterministic,extreme_mining.log,58,"[K=11 pattern] support=0.000197 (15,167 proteins) — plddt_mean_med + PF00271 + PF00270 + GO:0046872 + GO:0005737 + GO:0003677 + GO:0016787 + GO:0006281 + GO:0006310 + GO:0043138 + GO:0043590"
L2-155,kdist_power_son_k10_count,160,itemsets K=10,deterministic,extreme_mining.log,61,[deepest-patterns header] --- K=10 (160 itemsets) ---
L2-156,pattern_power_son_k10_1_support_frac,0.000240,support (fraction),deterministic,extreme_mining.log,62,"[K=10 pattern] support=0.000240 (18,425 proteins) — plddt_mean_med + PF00004 + PF07724 + PF10431 + PF17871 + GO:0005524 + GO:0005737 + GO:0016887 + GO:0006508 + GO:0034605"
L2-157,pattern_power_son_k10_1_support,"18,425",proteins (itemset support count),deterministic,extreme_mining.log,62,"[K=10 pattern] support=0.000240 (18,425 proteins) — plddt_mean_med + PF00004 + PF07724 + PF10431 + PF17871 + GO:0005524 + GO:0005737 + GO:0016887 + GO:0006508 + GO:0034605"
L2-158,pattern_power_son_k10_2_support_frac,0.000238,support (fraction),deterministic,extreme_mining.log,64,"[K=10 pattern] support=0.000238 (18,313 proteins) — plddt_mean_med + PF00004 + PF07724 + PF10431 + GO:0005524 + GO:0005737 + GO:0016887 + GO:0006508 + GO:0008233 + GO:0034605"
L2-159,pattern_power_son_k10_2_support,"18,313",proteins (itemset support count),deterministic,extreme_mining.log,64,"[K=10 pattern] support=0.000238 (18,313 proteins) — plddt_mean_med + PF00004 + PF07724 + PF10431 + GO:0005524 + GO:0005737 + GO:0016887 + GO:0006508 + GO:0008233 + GO:0034605"
