qkey,category,unit,description,claimed_value_tex,tex_lines,reproducibility
bench_deep_k_density_auto_peak_vram_mb,hardware-dependent,MB,"Peak VRAM per GPU (MB) of bench run 'deepk-density-auto' (deep_k preset, legacy kernel, sparse_from_k=auto, 2 GPUs).",log:416 / 408 / 406/408 MB (dense 414/416 MB) / GPU0=416; GPU1=416 / GPU0=406; GPU1=408,bench/results/2026-08-31-3090x2/report.md:9;bench/results/2026-09-01-3090x2-sparse/report.md:9;bench/results/2026-09-01-3090x2-sparse/FINDINGS.md:51;bench/results/2026-08-31-3090x2/raw.jsonl:7;bench/results/2026-09-01-3090x2-sparse/raw.jsonl:2,hardware
bench_deep_k_density_auto_params,method-parameter,run config,"Run configuration of bench run 'deepk-density-auto' (deep_k preset, legacy kernel, sparse_from_k=auto, 2 GPUs): preset, env knobs, n_gpus, sparse_from_k, max_length, two_phase, timeout (raw.jsonl); the report.md gpus/reps/variant/filter cells share this key.",log:gpus=2; reps=1; variant=legacy; filter=compact; preset=deep_k / gpus=2; reps=1; variant=legacy; preset=deep_k / preset=deep_k; env={'ET_MINER_KERNEL_VARIANT': 'legacy'}; n_gpus=2; sparse_from_k=auto; max_length=None; min_support=None; two_phase=False; timeout_s=1800,bench/results/2026-08-31-3090x2/report.md:9;bench/results/2026-09-01-3090x2-sparse/report.md:9;bench/results/2026-08-31-3090x2/raw.jsonl:7;bench/results/2026-09-01-3090x2-sparse/raw.jsonl:2,setup
bench_deep_k_legacy_1g_wall_s,hardware-dependent,s,"Wall-clock seconds of bench run 'deepk-legacy-1g' (deep_k preset, legacy kernel, 1 GPU) on the 2x RTX 3090 box; raw.jsonl wall_s per rep and the report.md median/min over reps share this key (the 2026-08-31 and 2026-09-01 campaigns ran different commits, see the file column).",log:0.6 / 0.603 / 0.584,bench/results/2026-08-31-3090x2/report.md:10;bench/results/2026-09-01-3090x2-sparse/report.md:11;bench/results/2026-08-31-3090x2/raw.jsonl:2;bench/results/2026-09-01-3090x2-sparse/raw.jsonl:6,hardware
bench_deep_k_legacy_1g_peak_vram_mb,hardware-dependent,MB,"Peak VRAM per GPU (MB) of bench run 'deepk-legacy-1g' (deep_k preset, legacy kernel, 1 GPU).",log:352 / GPU0=352; GPU1=4,bench/results/2026-08-31-3090x2/report.md:10;bench/results/2026-09-01-3090x2-sparse/report.md:11;bench/results/2026-08-31-3090x2/raw.jsonl:2;bench/results/2026-09-01-3090x2-sparse/raw.jsonl:6,hardware
bench_deep_k_legacy_1g_params,method-parameter,run config,"Run configuration of bench run 'deepk-legacy-1g' (deep_k preset, legacy kernel, 1 GPU): preset, env knobs, n_gpus, sparse_from_k, max_length, two_phase, timeout (raw.jsonl); the report.md gpus/reps/variant/filter cells share this key.","log:gpus=1; reps=1; variant=legacy; filter=compact; preset=deep_k / gpus=1; reps=1; variant=legacy; preset=deep_k / preset=deep_k; env={'ET_MINER_KERNEL_VARIANT': 'legacy', 'CUDA_VISIBLE_DEVICES': '0'}; n_gpus=1; sparse_from_k=None; max_length=None; min_support=None; two_phase=False; timeout_s=1800",bench/results/2026-08-31-3090x2/report.md:10;bench/results/2026-09-01-3090x2-sparse/report.md:11;bench/results/2026-08-31-3090x2/raw.jsonl:2;bench/results/2026-09-01-3090x2-sparse/raw.jsonl:6,setup
bench_deep_k_legacy_2g_wall_s,hardware-dependent,s,"Wall-clock seconds of bench run 'deepk-legacy-2g' (deep_k preset, legacy kernel, 2 GPUs (NCCL)) on the 2x RTX 3090 box; raw.jsonl wall_s per rep and the report.md median/min over reps share this key (the 2026-08-31 and 2026-09-01 campaigns ran different commits, see the file column).",log:1.3 / 1.322 / 1.338,bench/results/2026-08-31-3090x2/report.md:11;bench/results/2026-09-01-3090x2-sparse/report.md:12;bench/results/2026-08-31-3090x2/raw.jsonl:19;bench/results/2026-09-01-3090x2-sparse/raw.jsonl:8,hardware
bench_deep_k_legacy_2g_peak_vram_mb,hardware-dependent,MB,"Peak VRAM per GPU (MB) of bench run 'deepk-legacy-2g' (deep_k preset, legacy kernel, 2 GPUs (NCCL)).",log:416 / GPU0=414; GPU1=416,bench/results/2026-08-31-3090x2/report.md:11;bench/results/2026-09-01-3090x2-sparse/report.md:12;bench/results/2026-08-31-3090x2/raw.jsonl:19;bench/results/2026-09-01-3090x2-sparse/raw.jsonl:8,hardware
bench_deep_k_legacy_2g_params,method-parameter,run config,"Run configuration of bench run 'deepk-legacy-2g' (deep_k preset, legacy kernel, 2 GPUs (NCCL)): preset, env knobs, n_gpus, sparse_from_k, max_length, two_phase, timeout (raw.jsonl); the report.md gpus/reps/variant/filter cells share this key.",log:gpus=2; reps=1; variant=legacy; filter=compact; preset=deep_k / gpus=2; reps=1; variant=legacy; preset=deep_k / preset=deep_k; env={'ET_MINER_KERNEL_VARIANT': 'legacy'}; n_gpus=2; sparse_from_k=None; max_length=None; min_support=None; two_phase=False; timeout_s=1800,bench/results/2026-08-31-3090x2/report.md:11;bench/results/2026-09-01-3090x2-sparse/report.md:12;bench/results/2026-08-31-3090x2/raw.jsonl:19;bench/results/2026-09-01-3090x2-sparse/raw.jsonl:8,setup
bench_deep_k_nonccl_wall_s,hardware-dependent,s,"Wall-clock seconds of bench run 'deepk-nonccl' (deep_k preset, legacy kernel, 2 GPUs, ET_MINER_DISABLE_NCCL=1 (staged D2D fallback)) on the 2x RTX 3090 box; raw.jsonl wall_s per rep and the report.md median/min over reps share this key (the 2026-08-31 and 2026-09-01 campaigns ran different commits, see the file column).",log:0.9 / 0.9 s vs 1.3 s / 0.90 s vs 1.34 s / 0.863 / 0.901,bench/results/2026-08-31-3090x2/report.md:12;bench/results/2026-08-31-3090x2/FINDINGS.md:76;bench/results/2026-09-01-3090x2-sparse/report.md:13;bench/results/2026-09-01-3090x2-sparse/FINDINGS.md:81;bench/results/2026-08-31-3090x2/raw.jsonl:6;bench/results/2026-09-01-3090x2-sparse/raw.jsonl:1,hardware
bench_deep_k_nonccl_peak_vram_mb,hardware-dependent,MB,"Peak VRAM per GPU (MB) of bench run 'deepk-nonccl' (deep_k preset, legacy kernel, 2 GPUs, ET_MINER_DISABLE_NCCL=1 (staged D2D fallback)).",log:310 / GPU0=310; GPU1=310 / GPU0=302; GPU1=310,bench/results/2026-08-31-3090x2/report.md:12;bench/results/2026-09-01-3090x2-sparse/report.md:13;bench/results/2026-08-31-3090x2/raw.jsonl:6;bench/results/2026-09-01-3090x2-sparse/raw.jsonl:1,hardware
bench_deep_k_nonccl_params,method-parameter,run config,"Run configuration of bench run 'deepk-nonccl' (deep_k preset, legacy kernel, 2 GPUs, ET_MINER_DISABLE_NCCL=1 (staged D2D fallback)): preset, env knobs, n_gpus, sparse_from_k, max_length, two_phase, timeout (raw.jsonl); the report.md gpus/reps/variant/filter cells share this key.","log:gpus=2; reps=1; variant=legacy; filter=compact; preset=deep_k / gpus=2; reps=1; variant=legacy; preset=deep_k / preset=deep_k; env={'ET_MINER_KERNEL_VARIANT': 'legacy', 'ET_MINER_DISABLE_NCCL': '1'}; n_gpus=2; sparse_from_k=None; max_length=None; min_support=None; two_phase=False; timeout_s=1800",bench/results/2026-08-31-3090x2/report.md:12;bench/results/2026-09-01-3090x2-sparse/report.md:13;bench/results/2026-08-31-3090x2/raw.jsonl:6;bench/results/2026-09-01-3090x2-sparse/raw.jsonl:1,setup
bench_deep_k_prefilter_off_wall_s,hardware-dependent,s,"Wall-clock seconds of bench run 'deepk-prefilter-off' (deep_k preset, legacy kernel, 1 GPU, ET_MINER_DISABLE_PREFILTER=1) on the 2x RTX 3090 box; raw.jsonl wall_s per rep and the report.md median/min over reps share this key (the 2026-08-31 and 2026-09-01 campaigns ran different commits, see the file column).",log:0.6 / 0.609 / 0.59,bench/results/2026-08-31-3090x2/report.md:13;bench/results/2026-09-01-3090x2-sparse/report.md:14;bench/results/2026-08-31-3090x2/raw.jsonl:8;bench/results/2026-09-01-3090x2-sparse/raw.jsonl:4,hardware
bench_deep_k_prefilter_off_peak_vram_mb,hardware-dependent,MB,"Peak VRAM per GPU (MB) of bench run 'deepk-prefilter-off' (deep_k preset, legacy kernel, 1 GPU, ET_MINER_DISABLE_PREFILTER=1).",log:352 / GPU0=352; GPU1=4,bench/results/2026-08-31-3090x2/report.md:13;bench/results/2026-09-01-3090x2-sparse/report.md:14;bench/results/2026-08-31-3090x2/raw.jsonl:8;bench/results/2026-09-01-3090x2-sparse/raw.jsonl:4,hardware
bench_deep_k_prefilter_off_params,method-parameter,run config,"Run configuration of bench run 'deepk-prefilter-off' (deep_k preset, legacy kernel, 1 GPU, ET_MINER_DISABLE_PREFILTER=1): preset, env knobs, n_gpus, sparse_from_k, max_length, two_phase, timeout (raw.jsonl); the report.md gpus/reps/variant/filter cells share this key.","log:gpus=1; reps=1; variant=legacy; filter=compact; preset=deep_k / gpus=1; reps=1; variant=legacy; preset=deep_k / preset=deep_k; env={'ET_MINER_KERNEL_VARIANT': 'legacy', 'CUDA_VISIBLE_DEVICES': '0', 'ET_MINER_DISABLE_PREFILTER': '1'}; n_gpus=1; sparse_from_k=None; max_length=None; min_support=None; two_phase=False; timeout_s=1800 / preset=deep_k; env={'ET_MINER_KERNEL_VARIANT': 'legacy', 'CUDA_VISIBLE_DEVICES': '0'}; n_gpus=1; sparse_from_k=None; max_length=None; min_support=None; two_phase=False; timeout_s=1800",bench/results/2026-08-31-3090x2/report.md:13;bench/results/2026-09-01-3090x2-sparse/report.md:14;bench/results/2026-08-31-3090x2/raw.jsonl:8;bench/results/2026-09-01-3090x2-sparse/raw.jsonl:4,setup
bench_deep_k_shared_1g_wall_s,hardware-dependent,s,"Wall-clock seconds of bench run 'deepk-shared-1g' (deep_k preset, shared/tiled kernel, 1 GPU, 3 reps) on the 2x RTX 3090 box; raw.jsonl wall_s per rep and the report.md median/min over reps share this key (the 2026-08-31 and 2026-09-01 campaigns ran different commits, see the file column).",log:0.6 / 0.627 / 0.639 / 0.603 / 0.613 / 0.628 / 0.602,bench/results/2026-08-31-3090x2/report.md:14;bench/results/2026-09-01-3090x2-sparse/report.md:15;bench/results/2026-08-31-3090x2/raw.jsonl:17;bench/results/2026-08-31-3090x2/raw.jsonl:22;bench/results/2026-08-31-3090x2/raw.jsonl:26;bench/results/2026-09-01-3090x2-sparse/raw.jsonl:7;bench/results/2026-09-01-3090x2-sparse/raw.jsonl:10;bench/results/2026-09-01-3090x2-sparse/raw.jsonl:12,hardware
bench_deep_k_shared_1g_peak_vram_mb,hardware-dependent,MB,"Peak VRAM per GPU (MB) of bench run 'deepk-shared-1g' (deep_k preset, shared/tiled kernel, 1 GPU, 3 reps).",log:352 / GPU0=352; GPU1=4,bench/results/2026-08-31-3090x2/report.md:14;bench/results/2026-09-01-3090x2-sparse/report.md:15;bench/results/2026-08-31-3090x2/raw.jsonl:17;bench/results/2026-08-31-3090x2/raw.jsonl:22;bench/results/2026-08-31-3090x2/raw.jsonl:26;bench/results/2026-09-01-3090x2-sparse/raw.jsonl:7;bench/results/2026-09-01-3090x2-sparse/raw.jsonl:10;bench/results/2026-09-01-3090x2-sparse/raw.jsonl:12,hardware
bench_deep_k_shared_1g_params,method-parameter,run config,"Run configuration of bench run 'deepk-shared-1g' (deep_k preset, shared/tiled kernel, 1 GPU, 3 reps): preset, env knobs, n_gpus, sparse_from_k, max_length, two_phase, timeout (raw.jsonl); the report.md gpus/reps/variant/filter cells share this key.","log:gpus=1; reps=3; variant=shared; filter=compact; preset=deep_k / gpus=1; reps=3; variant=shared; preset=deep_k / preset=deep_k; env={'ET_MINER_KERNEL_VARIANT': 'shared', 'CUDA_VISIBLE_DEVICES': '0'}; n_gpus=1; sparse_from_k=None; max_length=None; min_support=None; two_phase=False; timeout_s=1800",bench/results/2026-08-31-3090x2/report.md:14;bench/results/2026-09-01-3090x2-sparse/report.md:15;bench/results/2026-08-31-3090x2/raw.jsonl:17;bench/results/2026-08-31-3090x2/raw.jsonl:22;bench/results/2026-08-31-3090x2/raw.jsonl:26;bench/results/2026-09-01-3090x2-sparse/raw.jsonl:7;bench/results/2026-09-01-3090x2-sparse/raw.jsonl:10;bench/results/2026-09-01-3090x2-sparse/raw.jsonl:12,setup
bench_deep_k_shared_2g_wall_s,hardware-dependent,s,"Wall-clock seconds of bench run 'deepk-shared-2g' (deep_k preset, shared/tiled kernel, 2 GPUs, 3 reps) on the 2x RTX 3090 box; raw.jsonl wall_s per rep and the report.md median/min over reps share this key (the 2026-08-31 and 2026-09-01 campaigns ran different commits, see the file column).",log:1.4 / 1.3 / 1.382 / 1.391 / 1.316 / 1.361 / 1.354 / 1.346,bench/results/2026-08-31-3090x2/report.md:15;bench/results/2026-09-01-3090x2-sparse/report.md:16;bench/results/2026-09-01-3090x2-sparse/report.md:27;bench/results/2026-08-31-3090x2/raw.jsonl:20;bench/results/2026-08-31-3090x2/raw.jsonl:24;bench/results/2026-08-31-3090x2/raw.jsonl:28;bench/results/2026-09-01-3090x2-sparse/raw.jsonl:9;bench/results/2026-09-01-3090x2-sparse/raw.jsonl:11;bench/results/2026-09-01-3090x2-sparse/raw.jsonl:13,hardware
bench_deep_k_shared_2g_peak_vram_mb,hardware-dependent,MB,"Peak VRAM per GPU (MB) of bench run 'deepk-shared-2g' (deep_k preset, shared/tiled kernel, 2 GPUs, 3 reps).",log:416 / GPU0=414; GPU1=416,bench/results/2026-08-31-3090x2/report.md:15;bench/results/2026-09-01-3090x2-sparse/report.md:16;bench/results/2026-08-31-3090x2/raw.jsonl:20;bench/results/2026-08-31-3090x2/raw.jsonl:24;bench/results/2026-08-31-3090x2/raw.jsonl:28;bench/results/2026-09-01-3090x2-sparse/raw.jsonl:9;bench/results/2026-09-01-3090x2-sparse/raw.jsonl:11;bench/results/2026-09-01-3090x2-sparse/raw.jsonl:13,hardware
bench_deep_k_shared_2g_params,method-parameter,run config,"Run configuration of bench run 'deepk-shared-2g' (deep_k preset, shared/tiled kernel, 2 GPUs, 3 reps): preset, env knobs, n_gpus, sparse_from_k, max_length, two_phase, timeout (raw.jsonl); the report.md gpus/reps/variant/filter cells share this key.",log:gpus=2; reps=3; variant=shared; filter=compact; preset=deep_k / gpus=2; reps=3; variant=shared; preset=deep_k / preset=deep_k; env={'ET_MINER_KERNEL_VARIANT': 'shared'}; n_gpus=2; sparse_from_k=None; max_length=None; min_support=None; two_phase=False; timeout_s=1800,bench/results/2026-08-31-3090x2/report.md:15;bench/results/2026-09-01-3090x2-sparse/report.md:16;bench/results/2026-08-31-3090x2/raw.jsonl:20;bench/results/2026-08-31-3090x2/raw.jsonl:24;bench/results/2026-08-31-3090x2/raw.jsonl:28;bench/results/2026-09-01-3090x2-sparse/raw.jsonl:9;bench/results/2026-09-01-3090x2-sparse/raw.jsonl:11;bench/results/2026-09-01-3090x2-sparse/raw.jsonl:13,setup
bench_deep_k_single_prefilter_on_wall_s,hardware-dependent,s,"Wall-clock seconds of bench run 'deepk-single-prefilter-on' (deep_k preset, legacy kernel, 1 GPU, sampled prefilter on) on the 2x RTX 3090 box; raw.jsonl wall_s per rep and the report.md median/min over reps share this key (the 2026-08-31 and 2026-09-01 campaigns ran different commits, see the file column).",log:0.6 / 0.592 / 0.595,bench/results/2026-08-31-3090x2/report.md:16;bench/results/2026-09-01-3090x2-sparse/report.md:17;bench/results/2026-08-31-3090x2/raw.jsonl:9;bench/results/2026-09-01-3090x2-sparse/raw.jsonl:5,hardware
bench_deep_k_single_prefilter_on_peak_vram_mb,hardware-dependent,MB,"Peak VRAM per GPU (MB) of bench run 'deepk-single-prefilter-on' (deep_k preset, legacy kernel, 1 GPU, sampled prefilter on).",log:352 / GPU0=352; GPU1=4,bench/results/2026-08-31-3090x2/report.md:16;bench/results/2026-09-01-3090x2-sparse/report.md:17;bench/results/2026-08-31-3090x2/raw.jsonl:9;bench/results/2026-09-01-3090x2-sparse/raw.jsonl:5,hardware
bench_deep_k_single_prefilter_on_params,method-parameter,run config,"Run configuration of bench run 'deepk-single-prefilter-on' (deep_k preset, legacy kernel, 1 GPU, sampled prefilter on): preset, env knobs, n_gpus, sparse_from_k, max_length, two_phase, timeout (raw.jsonl); the report.md gpus/reps/variant/filter cells share this key.","log:gpus=1; reps=1; variant=legacy; filter=compact; preset=deep_k / gpus=1; reps=1; variant=legacy; preset=deep_k / preset=deep_k; env={'ET_MINER_KERNEL_VARIANT': 'legacy', 'CUDA_VISIBLE_DEVICES': '0'}; n_gpus=1; sparse_from_k=None; max_length=None; min_support=None; two_phase=False; timeout_s=1800 / preset=deep_k; env={'ET_MINER_KERNEL_VARIANT': 'legacy', 'CUDA_VISIBLE_DEVICES': '0', 'ET_MINER_ENABLE_PREFILTER': '1'}; n_gpus=1; sparse_from_k=None; max_length=None; min_support=None; two_phase=False; timeout_s=1800",bench/results/2026-08-31-3090x2/report.md:16;bench/results/2026-09-01-3090x2-sparse/report.md:17;bench/results/2026-08-31-3090x2/raw.jsonl:9;bench/results/2026-09-01-3090x2-sparse/raw.jsonl:5,setup
bench_skewed_rows_nnz_wall_s,hardware-dependent,s,"Wall-clock seconds of bench run 'skew-nnz' (skewed_rows preset, legacy kernel, 2 GPUs, ET_MINER_ROW_BALANCE=nnz, 2 reps) on the 2x RTX 3090 box; raw.jsonl wall_s per rep and the report.md median/min over reps share this key (the 2026-08-31 and 2026-09-01 campaigns ran different commits, see the file column).",log:1.5 / 1.517 / 1.5 vs 1.4 s / 1.488,bench/results/2026-08-31-3090x2/report.md:17;bench/results/2026-08-31-3090x2/report.md:53;bench/results/2026-08-31-3090x2/FINDINGS.md:79;bench/results/2026-08-31-3090x2/raw.jsonl:12;bench/results/2026-08-31-3090x2/raw.jsonl:14,hardware
bench_skewed_rows_nnz_peak_vram_mb,hardware-dependent,MB,"Peak VRAM per GPU (MB) of bench run 'skew-nnz' (skewed_rows preset, legacy kernel, 2 GPUs, ET_MINER_ROW_BALANCE=nnz, 2 reps).",log:418 / GPU0=414; GPU1=418,bench/results/2026-08-31-3090x2/report.md:17;bench/results/2026-08-31-3090x2/raw.jsonl:12;bench/results/2026-08-31-3090x2/raw.jsonl:14,hardware
bench_skewed_rows_nnz_params,method-parameter,run config,"Run configuration of bench run 'skew-nnz' (skewed_rows preset, legacy kernel, 2 GPUs, ET_MINER_ROW_BALANCE=nnz, 2 reps): preset, env knobs, n_gpus, sparse_from_k, max_length, two_phase, timeout (raw.jsonl); the report.md gpus/reps/variant/filter cells share this key.","log:gpus=2; reps=2; variant=legacy; filter=compact; preset=skewed_rows / preset=skewed_rows; env={'ET_MINER_KERNEL_VARIANT': 'legacy', 'ET_MINER_ROW_BALANCE': 'nnz'}; n_gpus=2; sparse_from_k=None; max_length=None; min_support=None; two_phase=False; timeout_s=1800",bench/results/2026-08-31-3090x2/report.md:17;bench/results/2026-08-31-3090x2/raw.jsonl:12;bench/results/2026-08-31-3090x2/raw.jsonl:14,setup
bench_skewed_rows_rows_wall_s,hardware-dependent,s,"Wall-clock seconds of bench run 'skew-rows' (skewed_rows preset, legacy kernel, 2 GPUs, ET_MINER_ROW_BALANCE=rows, 2 reps) on the 2x RTX 3090 box; raw.jsonl wall_s per rep and the report.md median/min over reps share this key (the 2026-08-31 and 2026-09-01 campaigns ran different commits, see the file column).",log:1.4 / 1.435 / 1.441,bench/results/2026-08-31-3090x2/report.md:18;bench/results/2026-08-31-3090x2/raw.jsonl:11;bench/results/2026-08-31-3090x2/raw.jsonl:13,hardware
bench_skewed_rows_rows_peak_vram_mb,hardware-dependent,MB,"Peak VRAM per GPU (MB) of bench run 'skew-rows' (skewed_rows preset, legacy kernel, 2 GPUs, ET_MINER_ROW_BALANCE=rows, 2 reps).",log:416 / GPU0=416; GPU1=416,bench/results/2026-08-31-3090x2/report.md:18;bench/results/2026-08-31-3090x2/raw.jsonl:11;bench/results/2026-08-31-3090x2/raw.jsonl:13,hardware
bench_skewed_rows_rows_params,method-parameter,run config,"Run configuration of bench run 'skew-rows' (skewed_rows preset, legacy kernel, 2 GPUs, ET_MINER_ROW_BALANCE=rows, 2 reps): preset, env knobs, n_gpus, sparse_from_k, max_length, two_phase, timeout (raw.jsonl); the report.md gpus/reps/variant/filter cells share this key.","log:gpus=2; reps=2; variant=legacy; filter=compact; preset=skewed_rows / preset=skewed_rows; env={'ET_MINER_KERNEL_VARIANT': 'legacy', 'ET_MINER_ROW_BALANCE': 'rows'}; n_gpus=2; sparse_from_k=None; max_length=None; min_support=None; two_phase=False; timeout_s=1800",bench/results/2026-08-31-3090x2/report.md:18;bench/results/2026-08-31-3090x2/raw.jsonl:11;bench/results/2026-08-31-3090x2/raw.jsonl:13,setup
