claim_id,qkey,value,unit,category,stance,file,line,quoted_context
R2-025,k22_item_ids,"[1, 13, 23, 507, 509, 510, 513, 519, 529, 533, 569, 632, 651, 677, 766, 784, 795, 850, 887, 917, 965, 966]",item IDs of the K=22 itemset (22 IDs),deterministic,asserts-own,F1,86,"Items in the itemset | 22 IDs: [1, 13, 23, 507, 509, 510, 513, …]"
R2-026,k22_support_frac,1.04e-07,support of the K=22 itemset,deterministic,asserts-own,F1,87,Support value | 1.04e-07
R2-027,k22_support,8,proteins supporting the K=22 itemset,deterministic,asserts-own,F1,"88, 90, 290, 323","Estimated protein count | support * 76,890,945 = **8 proteins**"
R2-028,k22_n_plddt,1 (plddt_mean_med),pLDDT features in K=22 itemset,deterministic,asserts-own,F1,96,pLDDT | 1 | plddt_mean_med
R2-029,k22_n_pfam,"2 (PF00270, PF00271)",Pfam features in K=22 itemset,deterministic,asserts-own,F1,97,"Pfam | 2 | PF00270 (DEAD/DEAH N-term), PF00271 (Helicase C-term)"
R2-030,k22_n_go_mf,"8 (GO:0005524, GO:0016787, GO:0000287, GO:0003697, GO:0003724, GO:0003725, GO:0003678, GO:0000978)",GO MF features in K=22 itemset,deterministic,asserts-own,F1,98,"GO (MF) | 8 | GO:0005524, GO:0016787, GO:0000287, …"
R2-031,k22_n_go_bp,"4 (GO:0030154, GO:0045087, GO:0051607, GO:0034605)",GO BP features in K=22 itemset,deterministic,asserts-own,F1,99,"GO (BP) | 4 | GO:0030154, GO:0045087, GO:0051607, GO:0034605"
R2-032,k22_n_go_cc,"7 (GO:0005737, GO:0005829, GO:0005634, GO:0005739, GO:0030424, GO:0030425, GO:0016607)",GO CC features in K=22 itemset,deterministic,asserts-own,F1,100,"GO (CC) | 7 | GO:0005737, GO:0005829, GO:0005634, …"
R2-033,k22_n_features,22,decoded features total (= paper Table 5),deterministic,asserts-own,F1,"101, 103",Feature decode matches Table 5 in the paper exactly. All 22 features confirmed.
R2-034,kdist_opus_k1_count,"1,002",frequent K=1 items (parquet = log),deterministic,asserts-own,F1,"109, 156, 272, 293","1 | 1,002 | 1,002 | Yes"
R2-035,kdist_opus_k9_count,"3,529,257",K=9 itemsets (parquet = log),deterministic,asserts-own,F1,110,"9 | 3,529,257 | 3,529,257 | Yes"
R2-036,run_opus_itemsets,"26,849,505",total itemsets (parquet = log),deterministic,asserts-own,F1,"112, 114, 316","Parquet row count matches log exactly: 26,849,505 itemsets."
R2-037,run_power_direct_itemsets,"475,865",Direct GPU itemsets @0.001%,deterministic,asserts-own,F1,"124, 134","Direct GPU | 475,865 | 50.72s | 14"
R2-038,run_power_direct_time_s,50.72 s,Direct GPU time (JSON),hardware-dependent,asserts-own,F1,"124, 211","Direct GPU | 475,865 | 50.72s | 14"
R2-039,run_power_direct_kmax,14,Direct GPU max K @0.001%,deterministic,asserts-own,F1,"124, 198","Direct GPU | 475,865 | 50.72s | 14 … real extends to K=14 vs null K=6"
R2-040,run_power_son_itemsets,"22,846",SON itemsets @0.001%,deterministic,asserts-own,F1,"125, 134","SON | 22,846 | 1085.6s | 13"
R2-041,run_power_son_time_s,1085.6 s,SON time (JSON),hardware-dependent,asserts-own,F1,"125, 127, 210","SON | 22,846 | 1085.6s | 13"
R2-042,run_power_kmax,13,SON max K,deterministic,asserts-own,F1,125,"SON | 22,846 | 1085.6s | 13"
R2-043,son_speedup,21.4×,speedup 1085.6 / 50.72,hardware-dependent,asserts-own,F1,"127, 136, 291, 319",**Speedup:** 1085.6 / 50.72 = **21.4x**
R2-044,son_speedup,21×,speedup as rounded in paper caption,hardware-dependent,quotes-paper,F1,127,"paper rounds to ""21x"" in caption text, reports ""21.4x"" in controlled comparison"
R2-045,hw_gpu_model,H100,GPU model for both direct and SON runs,hardware-dependent,asserts-own,F1,132,Same GPU: yes (both run on H100) -- **SAME**
R2-046,son_missed_itemsets,"453,019",itemsets missed by SON,deterministic,asserts-own,F1,134,"**SON itemset loss:** 475,865 - 22,846 = 453,019 (95.2% lost)"
R2-047,son_miss_rate_pct,95.2%,SON miss rate,deterministic,asserts-own,F1,134,"453,019 (95.2% lost) -- **VERIFIED**, matches JSON `comparison.itemset_diff`"
R2-048,null_kmax,6,"null max K, each of 5 runs (JSON)",deterministic,asserts-own,F1,"146–150, 194",1 | 6 | 20 … 5 | 6 | 22
R2-049,null_perm1_k6_count,20,"null run 1, K=6 itemset count",deterministic,asserts-own,F1,146,1 | 6 | 20
R2-050,null_perm2_k6_count,22,"null run 2, K=6 count",deterministic,asserts-own,F1,147,2 | 6 | 22
R2-051,null_perm3_k6_count,23,"null run 3, K=6 count",deterministic,asserts-own,F1,148,3 | 6 | 23
R2-052,null_perm4_k6_count,22,"null run 4, K=6 count",deterministic,asserts-own,F1,149,4 | 6 | 22
R2-053,null_perm5_k6_count,22,"null run 5, K=6 count",deterministic,asserts-own,F1,150,5 | 6 | 22
R2-054,null_permutations,5,permutations in the null model,method-parameter,quotes-paper,F1,"152, 156, 160, 173, 177, 179, 181, 183, 209, 292, 294",Max K = 6 across all 5 permutations. Paper claim matches exactly.
R2-055,null_kmax,6,null max K (paper claim),deterministic,quotes-paper,F1,"152, 292",Max K = 6 across all 5 permutations. Paper claim matches exactly.
R2-056,null_k1_mean,"1,002",K=1 count in every null run (marginals preserved),deterministic,asserts-own,F1,"156, 293","All 5 null runs produce K=1 = 1,002 (identical to real data)."
R2-057,null_kge7_mean,0,"null itemsets at K>=7, all 5 runs (JSON)",deterministic,asserts-own,F1,160,All 5 runs: 0 itemsets at K>=7.
R2-058,null_kge7_mean,0 at K>=7,"paper claim ""no permutation produced any pattern at K>=7""",deterministic,quotes-paper,F1,160,"Paper claim ""no permutation produced any pattern at K>=7"" is correct."
R2-059,null_k2_bio,"22,019",K=2 biological itemsets (paper),deterministic,quotes-paper,F1,166,"2 | 22,019 | 22,019 | 63,702 | 63,702.4 | -987 | -987.08"
R2-060,null_k2_bio,"22,019",K=2 biological itemsets (JSON),deterministic,asserts-own,F1,166,"2 | 22,019 | 22,019 | 63,702 | 63,702.4 | -987 | -987.08"
R2-061,null_k2_mean,"63,702",K=2 null μ (paper),deterministic,quotes-paper,F1,166,"2 | 22,019 | 22,019 | 63,702 | 63,702.4 | -987 | -987.08"
R2-062,null_k2_mean,"63,702.4",K=2 null μ (JSON),deterministic,asserts-own,F1,166,"2 | 22,019 | 22,019 | 63,702 | 63,702.4 | -987 | -987.08"
R2-063,null_k2_z,−987,K=2 Z (paper),deterministic,quotes-paper,F1,166,"2 | 22,019 | 22,019 | 63,702 | 63,702.4 | -987 | -987.08"
R2-064,null_k2_z,−987.08,K=2 Z (JSON),deterministic,asserts-own,F1,166,"2 | 22,019 | 22,019 | 63,702 | 63,702.4 | -987 | -987.08"
R2-065,null_k4_bio,"108,059",K=4 bio (paper),deterministic,quotes-paper,F1,167,"4 | 108,059 | 108,059 | 25,468 | 25,467.8 | +3,791 | 3790.74"
R2-066,null_k4_bio,"108,059",K=4 bio (JSON),deterministic,asserts-own,F1,167,"4 | 108,059 | 108,059 | 25,468 | 25,467.8 | +3,791 | 3790.74"
R2-067,null_k4_mean,"25,468",K=4 null μ (paper),deterministic,quotes-paper,F1,167,"4 | 108,059 | 108,059 | 25,468 | 25,467.8 | +3,791 | 3790.74"
R2-068,null_k4_mean,"25,467.8",K=4 null μ (JSON),deterministic,asserts-own,F1,167,"4 | 108,059 | 108,059 | 25,468 | 25,467.8 | +3,791 | 3790.74"
R2-069,null_k4_z,"+3,791",K=4 Z (paper),deterministic,quotes-paper,F1,167,"4 | 108,059 | 108,059 | 25,468 | 25,467.8 | +3,791 | 3790.74"
R2-070,null_k4_z,3790.74,K=4 Z (JSON),deterministic,asserts-own,F1,167,"4 | 108,059 | 108,059 | 25,468 | 25,467.8 | +3,791 | 3790.74"
R2-071,null_k6_bio,"78,596",K=6 bio (paper),deterministic,quotes-paper,F1,168,"6 | 78,596 | 78,596 | 22 | 21.8 | +71,728 | 71728.1"
R2-072,null_k6_bio,"78,596",K=6 bio (JSON),deterministic,asserts-own,F1,168,"6 | 78,596 | 78,596 | 22 | 21.8 | +71,728 | 71728.1"
R2-073,null_k6_mean,22,K=6 null μ (paper),deterministic,quotes-paper,F1,168,"6 | 78,596 | 78,596 | 22 | 21.8 | +71,728 | 71728.1"
R2-074,null_k6_mean,21.8,K=6 null μ (JSON),deterministic,asserts-own,F1,168,"6 | 78,596 | 78,596 | 22 | 21.8 | +71,728 | 71728.1"
R2-075,null_k6_z,"+71,728",K=6 Z (paper),deterministic,quotes-paper,F1,168,"6 | 78,596 | 78,596 | 22 | 21.8 | +71,728 | 71728.1"
R2-076,null_k6_z,71728.1,K=6 Z (JSON),deterministic,asserts-own,F1,168,"6 | 78,596 | 78,596 | 22 | 21.8 | +71,728 | 71728.1"
R2-077,null_kge7_bio,"88,745",K=7–14 bio (paper),deterministic,quotes-paper,F1,"169, 322","7-14 | 88,745 | 88,745 | 0 | 0 | inf | inf"
R2-078,null_kge7_bio,"88,745",K=7–14 bio (JSON),deterministic,asserts-own,F1,169,"7-14 | 88,745 | 88,745 | 0 | 0 | inf | inf"
R2-079,null_kge7_mean,0,K=7–14 null μ (paper),deterministic,quotes-paper,F1,169,"7-14 | 88,745 | 88,745 | 0 | 0 | inf | inf"
R2-080,null_kge7_mean,0,K=7–14 null μ (JSON),deterministic,asserts-own,F1,169,"7-14 | 88,745 | 88,745 | 0 | 0 | inf | inf"
R2-081,null_kge7_z,inf,K=7–14 Z (paper),deterministic,quotes-paper,F1,"169, 179","7-14 | 88,745 | 88,745 | 0 | 0 | inf | inf"
R2-082,null_kge7_z,inf,K=7–14 Z (JSON),deterministic,asserts-own,F1,169,"7-14 | 88,745 | 88,745 | 0 | 0 | inf | inf"
R2-083,null_cv_max_k2to6_pct,< 5%,"CV of null counts across runs, K=2..6",deterministic,asserts-own,F1,177,The null model is remarkably stable across runs (CV < 5% for all K levels).
R2-084,null_perms_reaching_kge7,0 events in 5 trials,null K>=7 events,deterministic,asserts-own,F1,179,"With 0 events in 5 trials, the Clopper-Pearson 95% upper confidence bound on P(K>=7 | null)"
R2-085,null_p_bound_kge7,0.451 (45.1%),Clopper-Pearson 95% upper bound on P(K>=7 given null),deterministic,asserts-own,F1,"179, 294",upper confidence bound on P(K>=7 | null) is **0.451** (45.1%)
R2-086,null_p_bound_kge7,45%,share of null runs not excludable from producing K>=7,deterministic,asserts-own,F1,179,we CANNOT statistically rule out that up to 45% of null runs might produce K>=7 patterns
R2-087,null_p_bound_kge7,p=0,p-value for K>=7 (paper),deterministic,disputes,F1,179,The Z=infinity and p=0 claims for K>=7 are mathematical artifacts (division by zero in standard deviation)
R2-088,null_perms_for_p001,100,permutations needed (minimum),method-parameter,requests,F1,"181, 310",At least 100 permutations (upper bound: 0.030)
R2-089,null_p_bound_kge7_100perms,0.030,upper bound on P(K>=7 given null) with 100 permutations,deterministic,asserts-own,F1,181,At least 100 permutations (upper bound: 0.030)
R2-090,null_perms_ideal,1000,permutations (ideal),method-parameter,requests,F1,181,ideally 1000 permutations (upper bound: 0.003)
R2-091,null_p_bound_kge7_1000perms,0.003,upper bound with 1000 permutations,deterministic,asserts-own,F1,181,ideally 1000 permutations (upper bound: 0.003)
R2-092,null_k6_range,20–23,K=6 null count range over 5 runs,deterministic,asserts-own,F1,183,"The extreme stability across the 5 runs (K=6 count: 20-23, near-zero variance)"
R2-093,null_min_count,769 vs 8,min_count null vs main (paper line 396 quote),method-parameter,quotes-paper,F1,"189, 304",run at a higher threshold than the main analysis (min_count=769 vs. 8) for computational efficiency
R2-094,null_support_pct,0.001%,null-model support,method-parameter,asserts-own,F1,"194, 198, 200, 304, 322",Null model at 0.001% (min_count=769): max K=6
R2-095,run_opus_support_pct,0.00001%,main-run support,method-parameter,asserts-own,F1,"195, 198, 308",Real data at 0.00001% (min_count=8): max K=22
R2-096,run_opus_kmax,22,max K of real data at min_count=8,deterministic,asserts-own,F1,"195, 198",Real data at 0.00001% (min_count=8): max K=22
R2-097,null_minc8_kmax,"UNKNOWN (could be K=7, 8, or higher)",null max K if run at min_count=8,deterministic,disputes,F1,196,"If null model were run at 0.00001% (min_count=8): max K = **UNKNOWN** (could be K=7, 8, or higher)"
R2-098,null_uncovered_k_range,K=15–22,depth range not covered by any null test,deterministic,disputes,F1,"198, 304, 308",It does NOT validate the additional K=15 through K=22 patterns found at the lower threshold.
R2-099,null_kmax,K>=7,depth from which patterns are biological at 0.001%,deterministic,asserts-own,F1,200,The core finding (K>=7 is biological at 0.001%) is likely sound.
R2-100,run_opus_time_min,7.3 min,godmode run time (paper),hardware-dependent,quotes-paper,F1,"208, 296, 320","Godmode: 7.3 min | Log: ""440.5s"" | 440.5 / 60 = 7.34 min -- **VERIFIED**"
R2-101,run_opus_time_s,440.5 s,godmode run time (log),hardware-dependent,asserts-own,F1,"208, 296, 320","Godmode: 7.3 min | Log: ""440.5s"""
R2-102,run_opus_time_min,7.34 min,440.5 / 60,hardware-dependent,asserts-own,F1,208,440.5 / 60 = 7.34 min -- **VERIFIED**
R2-103,null_total_time_s,662 s,null model total time (paper),hardware-dependent,quotes-paper,F1,"209, 321",Null total: 662s | JSON: 662.17s
R2-104,null_total_time_s,662.17 s,"null total time (JSON, sum of 5 runs)",hardware-dependent,asserts-own,F1,209,Sum of 5 runs: 99.22+135.62+141.97+143.06+142.30 = 662.17s
R2-105,null_perm1_time_s,99.22 s,null run 1 time,hardware-dependent,asserts-own,F1,209,Sum of 5 runs: 99.22+135.62+141.97+143.06+142.30 = 662.17s
R2-106,null_perm2_time_s,135.62 s,null run 2 time,hardware-dependent,asserts-own,F1,209,Sum of 5 runs: 99.22+135.62+141.97+143.06+142.30 = 662.17s
R2-107,null_perm3_time_s,141.97 s,null run 3 time,hardware-dependent,asserts-own,F1,209,Sum of 5 runs: 99.22+135.62+141.97+143.06+142.30 = 662.17s
R2-108,null_perm4_time_s,143.06 s,null run 4 time,hardware-dependent,asserts-own,F1,209,Sum of 5 runs: 99.22+135.62+141.97+143.06+142.30 = 662.17s
R2-109,null_perm5_time_s,142.30 s,null run 5 time,hardware-dependent,asserts-own,F1,209,Sum of 5 runs: 99.22+135.62+141.97+143.06+142.30 = 662.17s
R2-110,run_power_time_min,18.1 min,SON time (paper),hardware-dependent,quotes-paper,F1,210,SON: 18.1 min | JSON: 1085.6s | 1085.6 / 60 = 18.09 min -- **VERIFIED**
R2-111,run_power_time_min,18.09 min,1085.6 / 60,hardware-dependent,asserts-own,F1,210,1085.6 / 60 = 18.09 min -- **VERIFIED**
R2-112,run_power_direct_time_s,50.7 s,Direct GPU time (paper),hardware-dependent,quotes-paper,F1,211,Direct GPU: 50.7s | JSON: 50.72s | **VERIFIED**
R2-113,ext_interpro2go_pf00270_go_terms,"2 GO terms (GO:0003676, GO:0005524)",InterPro2GO mapping of IPR011545 (PF00270),external-fact,asserts-own,F1,222–224,**IPR011545** (integrates PF00270 DEAD/DEAH helicase) maps to: GO:0003676 … **GO:0005524 (ATP binding)**
R2-114,ext_interpro2go_pf00271_go_terms,0 GO terms,InterPro2GO mapping of IPR001650 (PF00271),external-fact,asserts-own,F1,225–226,**IPR001650** (integrates PF00271 Helicase C-terminal) maps to: No GO terms
R2-115,k22_definitional_links,1 of 19,GO terms in K=22 confirmed auto-derived (GO:0005524),deterministic,asserts-own,F1,"228, 249, 297","Only **1 of 19 GO terms** (GO:0005524, ATP binding) is confirmed auto-derived from Pfam via InterPro2GO."
R2-116,k22_n_go,19,GO terms in the K=22 itemset,deterministic,asserts-own,F1,"228, 237, 241, 249, 297",we cannot determine how many of the 19 GO terms are experimentally validated
R2-117,k22_go_parent_child_pairs,0,parent-child GO pairs in the K=22 set,deterministic,asserts-own,F1,"243, 250",**No parent-child pairs exist in the K=22 set.**
R2-118,k22_independent_features,22,independent K after GO-hierarchy check (PROJECT_STATE.md),deterministic,quotes-paper,F1,243,"PROJECT_STATE.md: ""GO hierarchy: 0 parent-child pairs -> Independent K = 22"""
R2-119,k22_independent_features,22 → 21,effective independent feature count,deterministic,asserts-own,F1,254,This reduces the effective independent feature count from 22 to 21.
R2-120,vocab_pfam_frequent,247,Pfam domains (paper Table 1),deterministic,disputes,F1,"266, 279, 298, 302",Pfam domains | 247 | **500**
R2-121,vocab_pfam_frequent,500,Pfam domains (item_mapping parquet),deterministic,asserts-own,F1,"266, 275, 276, 279, 298, 302","Actually 500 Pfam + 500 GO + 2 pLDDT = 1,002"
R2-122,vocab_go_mf_frequent,302,GO MF terms (paper Table 1),deterministic,disputes,F1,267,GO terms (MF) | 302 | **cannot split**
R2-123,vocab_go_bp_frequent,289,GO BP terms (paper Table 1),deterministic,disputes,F1,268,GO terms (BP) | 289 | **cannot split**
R2-124,vocab_go_cc_frequent,161,GO CC terms (paper Table 1),deterministic,disputes,F1,269,GO terms (CC) | 161 | **cannot split**
R2-125,vocab_go_frequent,752,GO terms total (paper Table 1),deterministic,disputes,F1,"270, 279, 298, 302",GO terms (total) | 752 | **500**
R2-126,vocab_go_frequent,500,GO terms (item_mapping parquet),deterministic,asserts-own,F1,"270, 275, 276, 279, 298, 302",GO terms (total) | 752 | **500**
R2-127,vocab_plddt_frequent,3,pLDDT bins (paper Table 1),deterministic,disputes,F1,"271, 276, 277, 302",pLDDT bins | 3 | **2** (frequent)
R2-128,vocab_plddt_frequent,2,"pLDDT bins frequent at min_count=8 (plddt_mean_med, plddt_mean_high)",deterministic,asserts-own,F1,"271, 275, 277, 279, 298, 302",only 2 are frequent (plddt_mean_med and plddt_mean_high; plddt_mean_low has < 8 proteins)
R2-129,vocab_items_frequent,"1,002",total features (paper Table 1 = parquet),deterministic,quotes-paper,F1,"272, 274, 302","The total matches (1,002 frequent features), but the breakdown is wrong"
R2-130,vocab_items_defined,"1,006",entries in item_mapping_214m.parquet,deterministic,asserts-own,F1,276,"The item_mapping_214m.parquet contains 1,006 entries (500 pfam + 500 go_term + 6 plddt)"
R2-131,vocab_plddt_defined,6,plddt entries in item mapping,deterministic,asserts-own,F1,276,"1,006 entries (500 pfam + 500 go_term + 6 plddt)"
R2-132,vocab_items_infrequent,4,mapping entries not frequent at min_count=8,deterministic,asserts-own,F1,276,of which 4 are not frequent at min_count=8 (plddt_mean_low + 3 plddt_fraction items)
R2-133,vocab_plddt_fraction_bins,3,plddt_fraction items (not frequent),deterministic,asserts-own,F1,276,(plddt_mean_low + 3 plddt_fraction items)
R2-134,vocab_plddt_infrequent_support,< 8,proteins carrying plddt_mean_low,deterministic,asserts-own,F1,277,plddt_mean_low has < 8 proteins
R2-135,vocab_composition,500:500:2 (not 247:752:3),feature-type ratio,deterministic,asserts-own,F1,"279, 302","The actual ratio is 500:500:2, not 247:752:3."
R2-136,null_minc8_min_count,min_count=8 (0.00001%),requested null-model threshold,method-parameter,requests,F1,308,**Run null model at 0.00001% threshold (min_count=8)** to properly validate the K=22 result.
R2-137,k22_independent_features,21,independent feature count to be noted in paper,deterministic,requests,F1,312,"""GO:0005524 (ATP binding) is automatically mapped from PF00270 via InterPro2GO, reducing the independent feature count to 21."""
R2-138,vocab_v35k_items,35K,"features, expanded vocabulary (rounded)",deterministic,asserts-own,F2,"1, 14, 25, 54, 192, 210, 246, 251, 290, 312, 318, 322, 329, 336, 341, 355, 356, 363, 373, 377, 380, 413, 415, 422, 429, 437, 474, 534, 586, 600, 624, 639",LaTeX revision blocks for 35K-feature results
R2-139,run_v35k_support_pct,0.001%,support of the completed 35K run / controlled comparison,method-parameter,asserts-own,F2,"14, 23, 39, 54, 60, 336, 387, 555, 565, 567, 574, 637",35K MINING CAMPAIGN RESULTS (0.001% COMPLETE)
R2-140,vocab_items_frequent,"1,002","features, initial vocabulary",deterministic,quotes-paper,F2,"17, 100, 117, 127, 178, 264, 319, 470","after the existing Table 2 (1,002-feature campaign)"
R2-141,vocab_v35k_items,"35,012","features, expanded vocabulary",deterministic,asserts-own,F2,"21, 60, 99, 117, 127, 201, 215, 240, 264, 320, 388, 470, 628","Mining campaign results with the expanded 35,012-feature vocabulary"
R2-142,run_v35k_n_transactions,109.2 million,"proteins, expanded dataset",deterministic,asserts-own,F2,"22, 177, 185","across 109.2 million proteins on 4$\times$NVIDIA H200 143\,GB (row-split architecture)"
R2-143,hw_v35k_gpu_count,4,GPU count (H200) for 35K experiments,hardware-dependent,asserts-own,F2,"22, 186, 230, 239, 383, 438, 602, 616, 624, 651","on 4$\times$NVIDIA H200 143\,GB (row-split architecture)"
R2-144,hw_v35k_gpu_model,H200 (SXM5 at l.624),GPU model,hardware-dependent,asserts-own,F2,"22, 186, 220, 230, 383, 438, 602, 616, 624, 651","4$\times$NVIDIA H200 143\,GB … 4$\times$NVIDIA H200 SXM5 141\,GB GPUs"
R2-145,hw_v35k_gpu_vram_gb,143 GB,H200 VRAM,hardware-dependent,asserts-own,F2,"22, 187, 220, 641","This exceeds the 143\,GB VRAM of the NVIDIA H200"
R2-146,run_v35k_replicates,3,replicates of the 0.001% run,method-parameter,asserts-own,F2,"23, 61",The 0.001\% run reports mean $\pm$ std over 3 replicates [ACTUAL]
R2-147,run_v35k_wave3_support_pct,0.1%,Base run support,method-parameter,asserts-own,F2,"37, 47, 585, 600, 605, 654","Base & 0.1\% & 109,225 & \textbf{TBD} & ${\geq}10$ & \textbf{TBD}"
R2-148,run_v35k_wave3_min_count,"109,225",Base min proteins (min_count),method-parameter,asserts-own,F2,"37, 585, 605","Base & 0.1\% & 109,225 … The Base run (0.1\%, min\_count=109,225)"
R2-149,run_v35k_wave3_kmax,≥10,"Base max K (partial, run ongoing)",deterministic,asserts-own,F2,37,${\geq}10$\textsuperscript{$\ast$} … Base run (0.1\%) partial
R2-150,run_v35k_super_support_pct,0.01%,Super run support,method-parameter,asserts-own,F2,"38, 655","Super & 0.01\% & 10,923 & \textbf{TBD}"
R2-151,run_v35k_super_min_count,"10,923",Super min proteins,method-parameter,asserts-own,F2,38,"Super & 0.01\% & 10,923"
R2-152,run_v35k_itemsets,"606,292 ± 28","Power itemsets, mean ± std over 3 replicates",deterministic,asserts-own,F2,"39, 61, 637","Power & 0.001\% & 1,093 & 606,292 $\pm$ 28 & 17 & 654.3 $\pm$ 6.7"
R2-153,run_v35k_min_count,"1,093",Power min_count (0.001% of 109.2M),method-parameter,asserts-own,F2,"39, 320, 336, 340","Power & 0.001\% & 1,093 … min\_count$=$1,093 (0.001\% of 109M)"
R2-154,run_v35k_kmax,17,Power max K,deterministic,asserts-own,F2,"39, 320, 322, 356, 431, 643, 658","606,292 $\pm$ 28 & 17 & 654.3 $\pm$ 6.7 … $K{=}17$ (35,012 features, min\_count$=$1,093)"
R2-155,run_v35k_time_s,654.3 ± 6.7 s,"Power time, mean ± std",hardware-dependent,asserts-own,F2,39,"606,292 $\pm$ 28 & 17 & 654.3 $\pm$ 6.7 & Direct row-split"
R2-156,run_v35k_blitz_support_pct,0.0001%,Blitz run support,method-parameter,asserts-own,F2,"40, 566, 655",Blitz & 0.0001\% & 109 & \textbf{TBD}
R2-157,run_v35k_blitz_min_count,109,Blitz min proteins,method-parameter,asserts-own,F2,40,Blitz & 0.0001\% & 109
R2-158,run_v35k_ultra_support_pct,0.00002%,Ultra run support,method-parameter,asserts-own,F2,41,Ultra & 0.00002\% & 22 & \textbf{TBD}
R2-159,run_v35k_ultra_min_count,22,Ultra min proteins,method-parameter,asserts-own,F2,41,Ultra & 0.00002\% & 22
R2-160,run_v35k_opus_support_pct,0.00001%,Opus run support,method-parameter,asserts-own,F2,"42, 337",Opus & 0.00001\% & 11 & \textbf{TBD}
