qkey,category,unit,description,claimed_value_tex,tex_lines,reproducibility
kdist_blitz_k9_count,deterministic,itemsets,Frequent itemsets of length K=9 in the Blitz run (direct_mining.log per-K line and K-distribution block).,"log:247,680",direct_mining.log:25;direct_mining.log:50,rerun
kdist_blitz_k10_count,deterministic,itemsets,Frequent itemsets of length K=10 in the Blitz run (direct_mining.log per-K line and K-distribution block).,"log:179,604",direct_mining.log:26;direct_mining.log:51,rerun
kdist_blitz_k11_count,deterministic,itemsets,Frequent itemsets of length K=11 in the Blitz run (direct_mining.log per-K line and K-distribution block).,"log:117,783",direct_mining.log:27;direct_mining.log:52,rerun
kdist_blitz_k12_count,deterministic,itemsets,Frequent itemsets of length K=12 in the Blitz run (direct_mining.log per-K line and K-distribution block).,"log:67,558",direct_mining.log:28;direct_mining.log:53,rerun
kdist_blitz_k13_count,deterministic,itemsets,Frequent itemsets of length K=13 in the Blitz run (direct_mining.log per-K line and K-distribution block).,"log:32,831",direct_mining.log:29;direct_mining.log:54,rerun
kdist_blitz_k14_count,deterministic,itemsets,Frequent itemsets of length K=14 in the Blitz run (direct_mining.log per-K line and K-distribution block).,"log:13,105",direct_mining.log:30;direct_mining.log:55,rerun
kdist_blitz_k15_count,deterministic,itemsets,Frequent itemsets of length K=15 in the Blitz run (direct_mining.log per-K line and K-distribution block).,"log:4,155",direct_mining.log:31;direct_mining.log:56,rerun
kdist_blitz_k16_count,deterministic,itemsets,Frequent itemsets of length K=16 in the Blitz run (direct_mining.log per-K line and K-distribution block).,"log:1,003",direct_mining.log:32;direct_mining.log:57,rerun
kdist_blitz_k17_count,deterministic,itemsets,Frequent itemsets of length K=17 in the Blitz run (direct_mining.log per-K line and K-distribution block).,log:173,direct_mining.log:33;direct_mining.log:58,rerun
kdist_blitz_k18_count,deterministic,itemsets,Frequent itemsets of length K=18 in the Blitz run (direct_mining.log per-K line and K-distribution block).,log:19,direct_mining.log:34;direct_mining.log:59,rerun
kdist_blitz_k19_count,deterministic,itemsets,Frequent itemsets of length K=19 in the Blitz run (direct_mining.log per-K line and K-distribution block).,log:1,direct_mining.log:35;direct_mining.log:60,rerun
kdist_power_son_k1_count,deterministic,itemsets,Frequent itemsets of length K=1 in the Power SON run (extreme_mining.log K-distribution; K=10..13 also restated as deepest-pattern block headers).,log:47,extreme_mining.log:14,rerun
kdist_power_son_k2_count,deterministic,itemsets,Frequent itemsets of length K=2 in the Power SON run (extreme_mining.log K-distribution; K=10..13 also restated as deepest-pattern block headers).,log:990,extreme_mining.log:15,rerun
kdist_power_son_k3_count,deterministic,itemsets,Frequent itemsets of length K=3 in the Power SON run (extreme_mining.log K-distribution; K=10..13 also restated as deepest-pattern block headers).,"log:3,392",extreme_mining.log:16,rerun
kdist_power_son_k4_count,deterministic,itemsets,Frequent itemsets of length K=4 in the Power SON run (extreme_mining.log K-distribution; K=10..13 also restated as deepest-pattern block headers).,"log:5,147",extreme_mining.log:17,rerun
kdist_power_son_k5_count,deterministic,itemsets,Frequent itemsets of length K=5 in the Power SON run (extreme_mining.log K-distribution; K=10..13 also restated as deepest-pattern block headers).,"log:5,024",extreme_mining.log:18,rerun
kdist_power_son_k6_count,deterministic,itemsets,Frequent itemsets of length K=6 in the Power SON run (extreme_mining.log K-distribution; K=10..13 also restated as deepest-pattern block headers).,"log:3,847",extreme_mining.log:19,rerun
kdist_power_son_k7_count,deterministic,itemsets,Frequent itemsets of length K=7 in the Power SON run (extreme_mining.log K-distribution; K=10..13 also restated as deepest-pattern block headers).,"log:2,433",extreme_mining.log:20,rerun
kdist_power_son_k8_count,deterministic,itemsets,Frequent itemsets of length K=8 in the Power SON run (extreme_mining.log K-distribution; K=10..13 also restated as deepest-pattern block headers).,"log:1,253",extreme_mining.log:21,rerun
kdist_power_son_k9_count,deterministic,itemsets,Frequent itemsets of length K=9 in the Power SON run (extreme_mining.log K-distribution; K=10..13 also restated as deepest-pattern block headers).,log:492,extreme_mining.log:22,rerun
kdist_power_son_k10_count,deterministic,itemsets,Frequent itemsets of length K=10 in the Power SON run (extreme_mining.log K-distribution; K=10..13 also restated as deepest-pattern block headers).,log:160,extreme_mining.log:23;extreme_mining.log:61,rerun
kdist_power_son_k11_count,deterministic,itemsets,Frequent itemsets of length K=11 in the Power SON run (extreme_mining.log K-distribution; K=10..13 also restated as deepest-pattern block headers).,log:48,extreme_mining.log:24;extreme_mining.log:49,rerun
kdist_power_son_k12_count,deterministic,itemsets,Frequent itemsets of length K=12 in the Power SON run (extreme_mining.log K-distribution; K=10..13 also restated as deepest-pattern block headers).,log:11,extreme_mining.log:25;extreme_mining.log:37,rerun
kdist_power_son_k13_count,deterministic,itemsets,Frequent itemsets of length K=13 in the Power SON run (extreme_mining.log K-distribution; K=10..13 also restated as deepest-pattern block headers).,log:2,extreme_mining.log:26;extreme_mining.log:31,rerun
kdist_super_son_k1_count,deterministic,itemsets,Frequent itemsets of length K=1 in the Super SON run (ultra_mining.log K-distribution).,log:455,ultra_mining.log:14,rerun
kdist_super_son_k2_count,deterministic,itemsets,Frequent itemsets of length K=2 in the Super SON run (ultra_mining.log K-distribution).,"log:4,152",ultra_mining.log:15,rerun
kdist_super_son_k3_count,deterministic,itemsets,Frequent itemsets of length K=3 in the Super SON run (ultra_mining.log K-distribution).,"log:8,936",ultra_mining.log:16,rerun
kdist_super_son_k4_count,deterministic,itemsets,Frequent itemsets of length K=4 in the Super SON run (ultra_mining.log K-distribution).,"log:10,191",ultra_mining.log:17,rerun
kdist_super_son_k5_count,deterministic,itemsets,Frequent itemsets of length K=5 in the Super SON run (ultra_mining.log K-distribution).,"log:9,153",ultra_mining.log:18,rerun
kdist_super_son_k6_count,deterministic,itemsets,Frequent itemsets of length K=6 in the Super SON run (ultra_mining.log K-distribution).,"log:7,177",ultra_mining.log:19,rerun
kdist_super_son_k7_count,deterministic,itemsets,Frequent itemsets of length K=7 in the Super SON run (ultra_mining.log K-distribution).,"log:5,217",ultra_mining.log:20,rerun
kdist_super_son_k8_count,deterministic,itemsets,Frequent itemsets of length K=8 in the Super SON run (ultra_mining.log K-distribution).,"log:3,208",ultra_mining.log:21,rerun
kdist_super_son_k9_count,deterministic,itemsets,Frequent itemsets of length K=9 in the Super SON run (ultra_mining.log K-distribution).,"log:1,651",ultra_mining.log:22,rerun
kdist_super_son_k10_count,deterministic,itemsets,Frequent itemsets of length K=10 in the Super SON run (ultra_mining.log K-distribution).,log:707,ultra_mining.log:23,rerun
kdist_super_son_k11_count,deterministic,itemsets,Frequent itemsets of length K=11 in the Super SON run (ultra_mining.log K-distribution).,log:222,ultra_mining.log:24,rerun
kdist_super_son_k12_count,deterministic,itemsets,Frequent itemsets of length K=12 in the Super SON run (ultra_mining.log K-distribution).,log:48,ultra_mining.log:25,rerun
kdist_super_son_k13_count,deterministic,itemsets,Frequent itemsets of length K=13 in the Super SON run (ultra_mining.log K-distribution).,log:7,ultra_mining.log:26,rerun
kdist_base_son_k1_count,deterministic,itemsets,Frequent itemsets of length K=1 in the Base SON run (pipeline_214m.log Step 3 K-distribution; watcher.log copy).,log:667,pipeline_214m.log:2299;watcher.log:2308,rerun
kdist_base_son_k2_count,deterministic,itemsets,Frequent itemsets of length K=2 in the Base SON run (pipeline_214m.log Step 3 K-distribution; watcher.log copy).,"log:1,504",pipeline_214m.log:2300;watcher.log:2309,rerun
kdist_base_son_k3_count,deterministic,itemsets,Frequent itemsets of length K=3 in the Base SON run (pipeline_214m.log Step 3 K-distribution; watcher.log copy).,"log:1,378",pipeline_214m.log:2301;watcher.log:2310,rerun
kdist_base_son_k4_count,deterministic,itemsets,Frequent itemsets of length K=4 in the Base SON run (pipeline_214m.log Step 3 K-distribution; watcher.log copy).,log:884,pipeline_214m.log:2302;watcher.log:2311,rerun
kdist_base_son_k5_count,deterministic,itemsets,Frequent itemsets of length K=5 in the Base SON run (pipeline_214m.log Step 3 K-distribution; watcher.log copy).,log:514,pipeline_214m.log:2303;watcher.log:2312,rerun
kdist_base_son_k6_count,deterministic,itemsets,Frequent itemsets of length K=6 in the Base SON run (pipeline_214m.log Step 3 K-distribution; watcher.log copy).,log:247,pipeline_214m.log:2304;watcher.log:2313,rerun
kdist_base_son_k7_count,deterministic,itemsets,Frequent itemsets of length K=7 in the Base SON run (pipeline_214m.log Step 3 K-distribution; watcher.log copy).,log:89,pipeline_214m.log:2305;watcher.log:2314,rerun
kdist_base_son_k8_count,deterministic,itemsets,Frequent itemsets of length K=8 in the Base SON run (pipeline_214m.log Step 3 K-distribution; watcher.log copy).,log:20,pipeline_214m.log:2306;watcher.log:2315,rerun
kdist_base_son_k9_count,deterministic,itemsets,Frequent itemsets of length K=9 in the Base SON run (pipeline_214m.log Step 3 K-distribution; watcher.log copy).,log:2,pipeline_214m.log:2307;watcher.log:2316,rerun
kdist_hmb_k1_count,deterministic,itemsets,Frequent itemsets of length K=1 in the holdmybeer run (holdmybeer.log K-distribution).,"log:1,002",holdmybeer.log:14,rerun
kdist_hmb_k2_count,deterministic,itemsets,Frequent itemsets of length K=2 in the holdmybeer run (holdmybeer.log K-distribution).,"log:66,703",holdmybeer.log:15,rerun
kdist_hmb_k3_count,deterministic,itemsets,Frequent itemsets of length K=3 in the holdmybeer run (holdmybeer.log K-distribution).,"log:403,157",holdmybeer.log:16,rerun
kdist_hmb_k4_count,deterministic,itemsets,Frequent itemsets of length K=4 in the holdmybeer run (holdmybeer.log K-distribution).,"log:1,030,353",holdmybeer.log:17,rerun
kdist_hmb_k5_count,deterministic,itemsets,Frequent itemsets of length K=5 in the holdmybeer run (holdmybeer.log K-distribution).,"log:1,664,538",holdmybeer.log:18,rerun
kdist_hmb_k6_count,deterministic,itemsets,Frequent itemsets of length K=6 in the holdmybeer run (holdmybeer.log K-distribution).,"log:2,134,446",holdmybeer.log:19,rerun
kdist_hmb_k7_count,deterministic,itemsets,Frequent itemsets of length K=7 in the holdmybeer run (holdmybeer.log K-distribution).,"log:2,434,007",holdmybeer.log:20,rerun
kdist_hmb_k8_count,deterministic,itemsets,Frequent itemsets of length K=8 in the holdmybeer run (holdmybeer.log K-distribution).,"log:2,567,214",holdmybeer.log:21,rerun
kdist_hmb_k9_count,deterministic,itemsets,Frequent itemsets of length K=9 in the holdmybeer run (holdmybeer.log K-distribution).,"log:2,493,943",holdmybeer.log:22,rerun
kdist_hmb_k10_count,deterministic,itemsets,Frequent itemsets of length K=10 in the holdmybeer run (holdmybeer.log K-distribution).,"log:2,185,067",holdmybeer.log:23,rerun
kdist_hmb_k11_count,deterministic,itemsets,Frequent itemsets of length K=11 in the holdmybeer run (holdmybeer.log K-distribution).,"log:1,689,219",holdmybeer.log:24,rerun
kdist_hmb_k12_count,deterministic,itemsets,Frequent itemsets of length K=12 in the holdmybeer run (holdmybeer.log K-distribution).,"log:1,131,603",holdmybeer.log:25,rerun
kdist_hmb_k13_count,deterministic,itemsets,Frequent itemsets of length K=13 in the holdmybeer run (holdmybeer.log K-distribution).,"log:646,988",holdmybeer.log:26,rerun
kdist_hmb_k14_count,deterministic,itemsets,Frequent itemsets of length K=14 in the holdmybeer run (holdmybeer.log K-distribution).,"log:311,183",holdmybeer.log:27,rerun
kdist_hmb_k15_count,deterministic,itemsets,Frequent itemsets of length K=15 in the holdmybeer run (holdmybeer.log K-distribution).,"log:123,916",holdmybeer.log:28,rerun
kdist_hmb_k16_count,deterministic,itemsets,Frequent itemsets of length K=16 in the holdmybeer run (holdmybeer.log K-distribution).,"log:40,051",holdmybeer.log:29,rerun
kdist_hmb_k17_count,deterministic,itemsets,Frequent itemsets of length K=17 in the holdmybeer run (holdmybeer.log K-distribution).,"log:10,227",holdmybeer.log:30,rerun
kdist_hmb_k18_count,deterministic,itemsets,Frequent itemsets of length K=18 in the holdmybeer run (holdmybeer.log K-distribution).,"log:1,983",holdmybeer.log:31,rerun
kdist_hmb_k19_count,deterministic,itemsets,Frequent itemsets of length K=19 in the holdmybeer run (holdmybeer.log K-distribution).,log:274,holdmybeer.log:32,rerun
kdist_hmb_k20_count,deterministic,itemsets,Frequent itemsets of length K=20 in the holdmybeer run (holdmybeer.log K-distribution).,log:24,holdmybeer.log:33,rerun
kdist_hmb_k21_count,deterministic,itemsets,Frequent itemsets of length K=21 in the holdmybeer run (holdmybeer.log K-distribution).,log:1,holdmybeer.log:34,rerun
kdist_minc4_k1_count,deterministic,itemsets,Frequent itemsets of length K=1 in the holdmybeer_real run (holdmybeer_real.log K-distribution; K=20..22 also restated as pattern-block headers).,"log:1,002",holdmybeer_real.log:12,rerun
kdist_minc4_k2_count,deterministic,itemsets,Frequent itemsets of length K=2 in the holdmybeer_real run (holdmybeer_real.log K-distribution; K=20..22 also restated as pattern-block headers).,"log:94,427",holdmybeer_real.log:13,rerun
kdist_minc4_k3_count,deterministic,itemsets,Frequent itemsets of length K=3 in the holdmybeer_real run (holdmybeer_real.log K-distribution; K=20..22 also restated as pattern-block headers).,"log:603,403",holdmybeer_real.log:14,rerun
kdist_minc4_k4_count,deterministic,itemsets,Frequent itemsets of length K=4 in the holdmybeer_real run (holdmybeer_real.log K-distribution; K=20..22 also restated as pattern-block headers).,"log:1,649,283",holdmybeer_real.log:15,rerun
kdist_minc4_k5_count,deterministic,itemsets,Frequent itemsets of length K=5 in the holdmybeer_real run (holdmybeer_real.log K-distribution; K=20..22 also restated as pattern-block headers).,"log:2,916,124",holdmybeer_real.log:16,rerun
kdist_minc4_k6_count,deterministic,itemsets,Frequent itemsets of length K=6 in the holdmybeer_real run (holdmybeer_real.log K-distribution; K=20..22 also restated as pattern-block headers).,"log:4,169,081",holdmybeer_real.log:17,rerun
kdist_minc4_k7_count,deterministic,itemsets,Frequent itemsets of length K=7 in the holdmybeer_real run (holdmybeer_real.log K-distribution; K=20..22 also restated as pattern-block headers).,"log:5,318,506",holdmybeer_real.log:18,rerun
kdist_minc4_k8_count,deterministic,itemsets,Frequent itemsets of length K=8 in the holdmybeer_real run (holdmybeer_real.log K-distribution; K=20..22 also restated as pattern-block headers).,"log:6,223,873",holdmybeer_real.log:19,rerun
kdist_minc4_k9_count,deterministic,itemsets,Frequent itemsets of length K=9 in the holdmybeer_real run (holdmybeer_real.log K-distribution; K=20..22 also restated as pattern-block headers).,"log:6,644,170",holdmybeer_real.log:20,rerun
kdist_minc4_k10_count,deterministic,itemsets,Frequent itemsets of length K=10 in the holdmybeer_real run (holdmybeer_real.log K-distribution; K=20..22 also restated as pattern-block headers).,"log:6,362,841",holdmybeer_real.log:21,rerun
kdist_minc4_k11_count,deterministic,itemsets,Frequent itemsets of length K=11 in the holdmybeer_real run (holdmybeer_real.log K-distribution; K=20..22 also restated as pattern-block headers).,"log:5,373,365",holdmybeer_real.log:22,rerun
kdist_minc4_k12_count,deterministic,itemsets,Frequent itemsets of length K=12 in the holdmybeer_real run (holdmybeer_real.log K-distribution; K=20..22 also restated as pattern-block headers).,"log:3,943,668",holdmybeer_real.log:23,rerun
kdist_minc4_k13_count,deterministic,itemsets,Frequent itemsets of length K=13 in the holdmybeer_real run (holdmybeer_real.log K-distribution; K=20..22 also restated as pattern-block headers).,"log:2,484,117",holdmybeer_real.log:24,rerun
kdist_minc4_k14_count,deterministic,itemsets,Frequent itemsets of length K=14 in the holdmybeer_real run (holdmybeer_real.log K-distribution; K=20..22 also restated as pattern-block headers).,"log:1,327,096",holdmybeer_real.log:25,rerun
kdist_minc4_k15_count,deterministic,itemsets,Frequent itemsets of length K=15 in the holdmybeer_real run (holdmybeer_real.log K-distribution; K=20..22 also restated as pattern-block headers).,"log:593,694",holdmybeer_real.log:26,rerun
