claim_id,qkey,value,unit,category,file,line,quoted_context
L-030,bench_deep_k_legacy_1g_wall_s,0.6,s median wall,hardware-dependent,bench/results/2026-08-31-3090x2/report.md,10,deepk-legacy-1g | deep_k | legacy | compact | 1 | 1 | 0.6 | 0.6 | 352
L-031,bench_deep_k_legacy_1g_wall_s,0.6,s min wall,hardware-dependent,bench/results/2026-08-31-3090x2/report.md,10,deepk-legacy-1g: min s 0.6
L-032,bench_deep_k_legacy_1g_peak_vram_mb,352,MB peak VRAM,hardware-dependent,bench/results/2026-08-31-3090x2/report.md,10,deepk-legacy-1g: peak VRAM MB 352; throttled yes
L-033,bench_deep_k_legacy_1g_params,gpus=1; reps=1; variant=legacy; filter=compact; preset=deep_k,params,method-parameter,bench/results/2026-08-31-3090x2/report.md,10,deepk-legacy-1g | deep_k | legacy | compact | 1 | 1
L-034,bench_deep_k_legacy_2g_wall_s,1.3,s median wall,hardware-dependent,bench/results/2026-08-31-3090x2/report.md,11,deepk-legacy-2g | deep_k | legacy | compact | 2 | 1 | 1.3 | 1.3 | 416
L-035,bench_deep_k_legacy_2g_wall_s,1.3,s min wall,hardware-dependent,bench/results/2026-08-31-3090x2/report.md,11,deepk-legacy-2g: min s 1.3
L-036,bench_deep_k_legacy_2g_peak_vram_mb,416,MB peak VRAM,hardware-dependent,bench/results/2026-08-31-3090x2/report.md,11,deepk-legacy-2g: peak VRAM MB 416; throttled no
L-037,bench_deep_k_legacy_2g_params,gpus=2; reps=1; variant=legacy; filter=compact; preset=deep_k,params,method-parameter,bench/results/2026-08-31-3090x2/report.md,11,deepk-legacy-2g | deep_k | legacy | compact | 2 | 1
L-038,bench_deep_k_nonccl_wall_s,0.9,s median wall,hardware-dependent,bench/results/2026-08-31-3090x2/report.md,12,deepk-nonccl | deep_k | legacy | compact | 2 | 1 | 0.9 | 0.9 | 310
L-039,bench_deep_k_nonccl_wall_s,0.9,s min wall,hardware-dependent,bench/results/2026-08-31-3090x2/report.md,12,deepk-nonccl: min s 0.9
L-040,bench_deep_k_nonccl_peak_vram_mb,310,MB peak VRAM,hardware-dependent,bench/results/2026-08-31-3090x2/report.md,12,deepk-nonccl: peak VRAM MB 310; throttled no
L-041,bench_deep_k_nonccl_params,gpus=2; reps=1; variant=legacy; filter=compact; preset=deep_k,params,method-parameter,bench/results/2026-08-31-3090x2/report.md,12,deepk-nonccl | deep_k | legacy | compact | 2 | 1
L-042,bench_deep_k_prefilter_off_wall_s,0.6,s median wall,hardware-dependent,bench/results/2026-08-31-3090x2/report.md,13,deepk-prefilter-off | deep_k | legacy | compact | 1 | 1 | 0.6 | 0.6 | 352
L-043,bench_deep_k_prefilter_off_wall_s,0.6,s min wall,hardware-dependent,bench/results/2026-08-31-3090x2/report.md,13,deepk-prefilter-off: min s 0.6
L-044,bench_deep_k_prefilter_off_peak_vram_mb,352,MB peak VRAM,hardware-dependent,bench/results/2026-08-31-3090x2/report.md,13,deepk-prefilter-off: peak VRAM MB 352; throttled no
L-045,bench_deep_k_prefilter_off_params,gpus=1; reps=1; variant=legacy; filter=compact; preset=deep_k,params,method-parameter,bench/results/2026-08-31-3090x2/report.md,13,deepk-prefilter-off | deep_k | legacy | compact | 1 | 1
L-046,bench_deep_k_shared_1g_wall_s,0.6,s median wall,hardware-dependent,bench/results/2026-08-31-3090x2/report.md,14,deepk-shared-1g | deep_k | shared | compact | 1 | 3 | 0.6 | 0.6 | 352
L-047,bench_deep_k_shared_1g_wall_s,0.6,s min wall,hardware-dependent,bench/results/2026-08-31-3090x2/report.md,14,deepk-shared-1g: min s 0.6
L-048,bench_deep_k_shared_1g_peak_vram_mb,352,MB peak VRAM,hardware-dependent,bench/results/2026-08-31-3090x2/report.md,14,deepk-shared-1g: peak VRAM MB 352; throttled yes
L-049,bench_deep_k_shared_1g_params,gpus=1; reps=3; variant=shared; filter=compact; preset=deep_k,params,method-parameter,bench/results/2026-08-31-3090x2/report.md,14,deepk-shared-1g | deep_k | shared | compact | 1 | 3
L-050,bench_deep_k_shared_2g_wall_s,1.4,s median wall,hardware-dependent,bench/results/2026-08-31-3090x2/report.md,15,deepk-shared-2g | deep_k | shared | compact | 2 | 3 | 1.4 | 1.3 | 416
L-051,bench_deep_k_shared_2g_wall_s,1.3,s min wall,hardware-dependent,bench/results/2026-08-31-3090x2/report.md,15,deepk-shared-2g: min s 1.3
L-052,bench_deep_k_shared_2g_peak_vram_mb,416,MB peak VRAM,hardware-dependent,bench/results/2026-08-31-3090x2/report.md,15,deepk-shared-2g: peak VRAM MB 416; throttled no
L-053,bench_deep_k_shared_2g_params,gpus=2; reps=3; variant=shared; filter=compact; preset=deep_k,params,method-parameter,bench/results/2026-08-31-3090x2/report.md,15,deepk-shared-2g | deep_k | shared | compact | 2 | 3
L-054,bench_deep_k_single_prefilter_on_wall_s,0.6,s median wall,hardware-dependent,bench/results/2026-08-31-3090x2/report.md,16,deepk-single-prefilter-on | deep_k | legacy | compact | 1 | 1 | 0.6 | 0.6 | 352
L-055,bench_deep_k_single_prefilter_on_wall_s,0.6,s min wall,hardware-dependent,bench/results/2026-08-31-3090x2/report.md,16,deepk-single-prefilter-on: min s 0.6
L-056,bench_deep_k_single_prefilter_on_peak_vram_mb,352,MB peak VRAM,hardware-dependent,bench/results/2026-08-31-3090x2/report.md,16,deepk-single-prefilter-on: peak VRAM MB 352; throttled yes
L-057,bench_deep_k_single_prefilter_on_params,gpus=1; reps=1; variant=legacy; filter=compact; preset=deep_k,params,method-parameter,bench/results/2026-08-31-3090x2/report.md,16,deepk-single-prefilter-on | deep_k | legacy | compact | 1 | 1
L-058,bench_skewed_rows_nnz_wall_s,1.5,s median wall,hardware-dependent,bench/results/2026-08-31-3090x2/report.md,17,skew-nnz | skewed_rows | legacy | compact | 2 | 2 | 1.5 | 1.5 | 418
L-059,bench_skewed_rows_nnz_wall_s,1.5,s min wall,hardware-dependent,bench/results/2026-08-31-3090x2/report.md,17,skew-nnz: min s 1.5
L-060,bench_skewed_rows_nnz_peak_vram_mb,418,MB peak VRAM,hardware-dependent,bench/results/2026-08-31-3090x2/report.md,17,skew-nnz: peak VRAM MB 418; throttled no
L-061,bench_skewed_rows_nnz_params,gpus=2; reps=2; variant=legacy; filter=compact; preset=skewed_rows,params,method-parameter,bench/results/2026-08-31-3090x2/report.md,17,skew-nnz | skewed_rows | legacy | compact | 2 | 2
L-062,bench_skewed_rows_rows_wall_s,1.4,s median wall,hardware-dependent,bench/results/2026-08-31-3090x2/report.md,18,skew-rows | skewed_rows | legacy | compact | 2 | 2 | 1.4 | 1.4 | 416
L-063,bench_skewed_rows_rows_wall_s,1.4,s min wall,hardware-dependent,bench/results/2026-08-31-3090x2/report.md,18,skew-rows: min s 1.4
L-064,bench_skewed_rows_rows_peak_vram_mb,416,MB peak VRAM,hardware-dependent,bench/results/2026-08-31-3090x2/report.md,18,skew-rows: peak VRAM MB 416; throttled no
L-065,bench_skewed_rows_rows_params,gpus=2; reps=2; variant=legacy; filter=compact; preset=skewed_rows,params,method-parameter,bench/results/2026-08-31-3090x2/report.md,18,skew-rows | skewed_rows | legacy | compact | 2 | 2
L-066,bench_stress_k2_filter_compact_wall_s,89.6,s median wall,hardware-dependent,bench/results/2026-08-31-3090x2/report.md,19,stressk2-filter-compact | stress_k2 | legacy | compact | 2 | 1 | 89.6 | 89.6 | 6918
L-067,bench_stress_k2_filter_compact_wall_s,89.6,s min wall,hardware-dependent,bench/results/2026-08-31-3090x2/report.md,19,stressk2-filter-compact: min s 89.6
L-068,bench_stress_k2_filter_compact_peak_vram_mb,6918,MB peak VRAM,hardware-dependent,bench/results/2026-08-31-3090x2/report.md,19,stressk2-filter-compact: peak VRAM MB 6918; throttled yes
L-069,bench_stress_k2_filter_compact_params,gpus=2; reps=1; variant=legacy; filter=compact; preset=stress_k2,params,method-parameter,bench/results/2026-08-31-3090x2/report.md,19,stressk2-filter-compact | stress_k2 | legacy | compact | 2 | 1
L-070,bench_stress_k2_filter_cpu_wall_s,90.2,s median wall,hardware-dependent,bench/results/2026-08-31-3090x2/report.md,20,stressk2-filter-cpu | stress_k2 | legacy | cpu | 2 | 1 | 90.2 | 90.2 | 6920
L-071,bench_stress_k2_filter_cpu_wall_s,90.2,s min wall,hardware-dependent,bench/results/2026-08-31-3090x2/report.md,20,stressk2-filter-cpu: min s 90.2
L-072,bench_stress_k2_filter_cpu_peak_vram_mb,6920,MB peak VRAM,hardware-dependent,bench/results/2026-08-31-3090x2/report.md,20,stressk2-filter-cpu: peak VRAM MB 6920; throttled yes
L-073,bench_stress_k2_filter_cpu_params,gpus=2; reps=1; variant=legacy; filter=cpu; preset=stress_k2,params,method-parameter,bench/results/2026-08-31-3090x2/report.md,20,stressk2-filter-cpu | stress_k2 | legacy | cpu | 2 | 1
L-074,bench_stress_k2_filter_cupy_wall_s,89.7,s median wall,hardware-dependent,bench/results/2026-08-31-3090x2/report.md,21,stressk2-filter-cupy | stress_k2 | legacy | cupy | 2 | 1 | 89.7 | 89.7 | 6998
L-075,bench_stress_k2_filter_cupy_wall_s,89.7,s min wall,hardware-dependent,bench/results/2026-08-31-3090x2/report.md,21,stressk2-filter-cupy: min s 89.7
L-076,bench_stress_k2_filter_cupy_peak_vram_mb,6998,MB peak VRAM,hardware-dependent,bench/results/2026-08-31-3090x2/report.md,21,stressk2-filter-cupy: peak VRAM MB 6998; throttled yes
L-077,bench_stress_k2_filter_cupy_params,gpus=2; reps=1; variant=legacy; filter=cupy; preset=stress_k2,params,method-parameter,bench/results/2026-08-31-3090x2/report.md,21,stressk2-filter-cupy | stress_k2 | legacy | cupy | 2 | 1
L-078,bench_stress_k2_legacy_1g_wall_s,2238.8,s median wall,hardware-dependent,bench/results/2026-08-31-3090x2/report.md,22,stressk2-legacy-1g | stress_k2 | legacy | compact | 1 | 1 | 2238.8 | 2238.8 | 17340
L-079,bench_stress_k2_legacy_1g_wall_s,2238.8,s min wall,hardware-dependent,bench/results/2026-08-31-3090x2/report.md,22,stressk2-legacy-1g: min s 2238.8
L-080,bench_stress_k2_legacy_1g_peak_vram_mb,17340,MB peak VRAM,hardware-dependent,bench/results/2026-08-31-3090x2/report.md,22,stressk2-legacy-1g: peak VRAM MB 17340; throttled yes
L-081,bench_stress_k2_legacy_1g_params,gpus=1; reps=1; variant=legacy; filter=compact; preset=stress_k2,params,method-parameter,bench/results/2026-08-31-3090x2/report.md,22,stressk2-legacy-1g | stress_k2 | legacy | compact | 1 | 1
L-082,bench_stress_k2_legacy_2g_wall_s,1996.7,s median wall,hardware-dependent,bench/results/2026-08-31-3090x2/report.md,23,stressk2-legacy-2g | stress_k2 | legacy | compact | 2 | 1 | 1996.7 | 1996.7 | 16576
L-083,bench_stress_k2_legacy_2g_wall_s,1996.7,s min wall,hardware-dependent,bench/results/2026-08-31-3090x2/report.md,23,stressk2-legacy-2g: min s 1996.7
L-084,bench_stress_k2_legacy_2g_peak_vram_mb,16576,MB peak VRAM,hardware-dependent,bench/results/2026-08-31-3090x2/report.md,23,stressk2-legacy-2g: peak VRAM MB 16576; throttled yes
L-085,bench_stress_k2_legacy_2g_params,gpus=2; reps=1; variant=legacy; filter=compact; preset=stress_k2,params,method-parameter,bench/results/2026-08-31-3090x2/report.md,23,stressk2-legacy-2g | stress_k2 | legacy | compact | 2 | 1
L-086,bench_stress_k2_shared_1g_wall_s,253.3,s median wall,hardware-dependent,bench/results/2026-08-31-3090x2/report.md,24,stressk2-shared-1g | stress_k2 | shared | compact | 1 | 3 | 253.3 | 253.1 | 17340
L-087,bench_stress_k2_shared_1g_wall_s,253.1,s min wall,hardware-dependent,bench/results/2026-08-31-3090x2/report.md,24,stressk2-shared-1g: min s 253.1
L-088,bench_stress_k2_shared_1g_peak_vram_mb,17340,MB peak VRAM,hardware-dependent,bench/results/2026-08-31-3090x2/report.md,24,stressk2-shared-1g: peak VRAM MB 17340; throttled yes
L-089,bench_stress_k2_shared_1g_params,gpus=1; reps=3; variant=shared; filter=compact; preset=stress_k2,params,method-parameter,bench/results/2026-08-31-3090x2/report.md,24,stressk2-shared-1g | stress_k2 | shared | compact | 1 | 3
L-090,bench_stress_k2_shared_2g_wall_s,122.3,s median wall,hardware-dependent,bench/results/2026-08-31-3090x2/report.md,25,stressk2-shared-2g | stress_k2 | shared | compact | 2 | 3 | 122.3 | 122.3 | 16576
L-091,bench_stress_k2_shared_2g_wall_s,122.3,s min wall,hardware-dependent,bench/results/2026-08-31-3090x2/report.md,25,stressk2-shared-2g: min s 122.3
L-092,bench_stress_k2_shared_2g_peak_vram_mb,16576,MB peak VRAM,hardware-dependent,bench/results/2026-08-31-3090x2/report.md,25,stressk2-shared-2g: peak VRAM MB 16576; throttled yes
L-093,bench_stress_k2_shared_2g_params,gpus=2; reps=3; variant=shared; filter=compact; preset=stress_k2,params,method-parameter,bench/results/2026-08-31-3090x2/report.md,25,stressk2-shared-2g | stress_k2 | shared | compact | 2 | 3
L-094,bench_smoke_twophase_wall_s,1.6,s median wall,hardware-dependent,bench/results/2026-08-31-3090x2/report.md,26,twophase-smoke | smoke | legacy | compact | 2 | 1 | 1.6 | 1.6 | 408
L-095,bench_smoke_twophase_wall_s,1.6,s min wall,hardware-dependent,bench/results/2026-08-31-3090x2/report.md,26,twophase-smoke: min s 1.6
L-096,bench_smoke_twophase_peak_vram_mb,408,MB peak VRAM,hardware-dependent,bench/results/2026-08-31-3090x2/report.md,26,twophase-smoke: peak VRAM MB 408; throttled yes
L-097,bench_smoke_twophase_params,gpus=2; reps=1; variant=legacy; filter=compact; preset=smoke,params,method-parameter,bench/results/2026-08-31-3090x2/report.md,26,twophase-smoke | smoke | legacy | compact | 2 | 1
L-098,bench_deep_k_shared_vs_legacy_2g_speedup,0.97×,"speedup shared vs legacy (deep_k, 2 GPUs)",hardware-dependent,bench/results/2026-08-31-3090x2/report.md,32,deep_k | 2 | 1.3 | 1.4 | 0.97×
L-099,bench_stress_k2_shared_vs_legacy_2g_speedup,16.32×,"speedup shared vs legacy (stress_k2, 2 GPUs)",hardware-dependent,bench/results/2026-08-31-3090x2/report.md,33,stress_k2 | 2 | 1996.7 | 122.3 | 16.32×
L-100,bench_deep_k_density_auto_wall_s,10.431,s (deepk-density-auto#r0),hardware-dependent,bench/results/2026-08-31-3090x2/report.md,37,"**deep_k** (deepk-density-auto#r0, 10.431s):"
L-101,bench_deep_k_density_auto_levels,K1: candidates=112; frequent=112,count,deterministic,bench/results/2026-08-31-3090x2/report.md,41,deep_k per-level: | 1 | 112 | 112 | 27 |
L-102,bench_deep_k_density_auto_level_ms,27,"ms (K=1, deepk-density-auto#r0)",hardware-dependent,bench/results/2026-08-31-3090x2/report.md,41,| 1 | 112 | 112 | 27 |
L-103,bench_deep_k_density_auto_levels,K2: candidates=0; frequent=471,count,deterministic,bench/results/2026-08-31-3090x2/report.md,42,deep_k per-level: | 2 | 0 | 471 | 46 |
L-104,bench_deep_k_density_auto_level_ms,46,"ms (K=2, deepk-density-auto#r0)",hardware-dependent,bench/results/2026-08-31-3090x2/report.md,42,| 2 | 0 | 471 | 46 |
L-105,bench_deep_k_density_auto_levels,K3: candidates=0; frequent=901,count,deterministic,bench/results/2026-08-31-3090x2/report.md,43,deep_k per-level: | 3 | 0 | 901 | 5 |
L-106,bench_deep_k_density_auto_level_ms,5,"ms (K=3, deepk-density-auto#r0)",hardware-dependent,bench/results/2026-08-31-3090x2/report.md,43,| 3 | 0 | 901 | 5 |
L-107,bench_deep_k_density_auto_levels,K4: candidates=0; frequent=1407,count,deterministic,bench/results/2026-08-31-3090x2/report.md,44,"deep_k per-level: | 4 | 0 | 1,407 | 6 |"
L-108,bench_deep_k_density_auto_level_ms,6,"ms (K=4, deepk-density-auto#r0)",hardware-dependent,bench/results/2026-08-31-3090x2/report.md,44,"| 4 | 0 | 1,407 | 6 |"
L-109,bench_deep_k_density_auto_levels,K5: candidates=0; frequent=1854,count,deterministic,bench/results/2026-08-31-3090x2/report.md,45,"deep_k per-level: | 5 | 0 | 1,854 | 3145 |"
L-110,bench_deep_k_density_auto_level_ms,3145,"ms (K=5, deepk-density-auto#r0)",hardware-dependent,bench/results/2026-08-31-3090x2/report.md,45,"| 5 | 0 | 1,854 | 3145 |"
L-111,bench_deep_k_density_auto_levels,K6: candidates=0; frequent=1848,count,deterministic,bench/results/2026-08-31-3090x2/report.md,46,"deep_k per-level: | 6 | 0 | 1,848 | 2553 |"
L-112,bench_deep_k_density_auto_level_ms,2553,"ms (K=6, deepk-density-auto#r0)",hardware-dependent,bench/results/2026-08-31-3090x2/report.md,46,"| 6 | 0 | 1,848 | 2553 |"
L-113,bench_deep_k_density_auto_levels,K7: candidates=0; frequent=1320,count,deterministic,bench/results/2026-08-31-3090x2/report.md,47,"deep_k per-level: | 7 | 0 | 1,320 | 1817 |"
L-114,bench_deep_k_density_auto_level_ms,1817,"ms (K=7, deepk-density-auto#r0)",hardware-dependent,bench/results/2026-08-31-3090x2/report.md,47,"| 7 | 0 | 1,320 | 1817 |"
L-115,bench_deep_k_density_auto_levels,K8: candidates=0; frequent=660,count,deterministic,bench/results/2026-08-31-3090x2/report.md,48,deep_k per-level: | 8 | 0 | 660 | 902 |
L-116,bench_deep_k_density_auto_level_ms,902,"ms (K=8, deepk-density-auto#r0)",hardware-dependent,bench/results/2026-08-31-3090x2/report.md,48,| 8 | 0 | 660 | 902 |
L-117,bench_deep_k_density_auto_levels,K9: candidates=0; frequent=220,count,deterministic,bench/results/2026-08-31-3090x2/report.md,49,deep_k per-level: | 9 | 0 | 220 | 374 |
L-118,bench_deep_k_density_auto_level_ms,374,"ms (K=9, deepk-density-auto#r0)",hardware-dependent,bench/results/2026-08-31-3090x2/report.md,49,| 9 | 0 | 220 | 374 |
L-119,bench_deep_k_density_auto_levels,K10: candidates=0; frequent=44,count,deterministic,bench/results/2026-08-31-3090x2/report.md,50,deep_k per-level: | 10 | 0 | 44 | 65 |
L-120,bench_deep_k_density_auto_level_ms,65,"ms (K=10, deepk-density-auto#r0)",hardware-dependent,bench/results/2026-08-31-3090x2/report.md,50,| 10 | 0 | 44 | 65 |
L-121,bench_deep_k_density_auto_levels,K11: candidates=0; frequent=4,count,deterministic,bench/results/2026-08-31-3090x2/report.md,51,deep_k per-level: | 11 | 0 | 4 | 14 |
L-122,bench_deep_k_density_auto_level_ms,14,"ms (K=11, deepk-density-auto#r0)",hardware-dependent,bench/results/2026-08-31-3090x2/report.md,51,| 11 | 0 | 4 | 14 |
L-123,bench_skewed_rows_nnz_wall_s,1.517,s (skew-nnz#r1),hardware-dependent,bench/results/2026-08-31-3090x2/report.md,53,"**skewed_rows** (skew-nnz#r1, 1.517s):"
L-124,bench_skewed_rows_nnz_levels,K1: candidates=118; frequent=118,count,deterministic,bench/results/2026-08-31-3090x2/report.md,57,skewed_rows per-level: | 1 | 118 | 118 | 26 |
L-125,bench_skewed_rows_nnz_level_ms,26,"ms (K=1, skew-nnz#r1)",hardware-dependent,bench/results/2026-08-31-3090x2/report.md,57,| 1 | 118 | 118 | 26 |
L-126,bench_skewed_rows_nnz_levels,K2: candidates=0; frequent=717,count,deterministic,bench/results/2026-08-31-3090x2/report.md,58,skewed_rows per-level: | 2 | 0 | 717 | 47 |
L-127,bench_skewed_rows_nnz_level_ms,47,"ms (K=2, skew-nnz#r1)",hardware-dependent,bench/results/2026-08-31-3090x2/report.md,58,| 2 | 0 | 717 | 47 |
L-128,bench_skewed_rows_nnz_levels,K3: candidates=0; frequent=1928,count,deterministic,bench/results/2026-08-31-3090x2/report.md,59,"skewed_rows per-level: | 3 | 0 | 1,928 | 7 |"
L-129,bench_skewed_rows_nnz_level_ms,7,"ms (K=3, skew-nnz#r1)",hardware-dependent,bench/results/2026-08-31-3090x2/report.md,59,"| 3 | 0 | 1,928 | 7 |"
L-130,bench_skewed_rows_nnz_levels,K4: candidates=0; frequent=2932,count,deterministic,bench/results/2026-08-31-3090x2/report.md,60,"skewed_rows per-level: | 4 | 0 | 2,932 | 16 |"
L-131,bench_skewed_rows_nnz_level_ms,16,"ms (K=4, skew-nnz#r1)",hardware-dependent,bench/results/2026-08-31-3090x2/report.md,60,"| 4 | 0 | 2,932 | 16 |"
L-132,bench_skewed_rows_nnz_levels,K5: candidates=0; frequent=2683,count,deterministic,bench/results/2026-08-31-3090x2/report.md,61,"skewed_rows per-level: | 5 | 0 | 2,683 | 34 |"
L-133,bench_skewed_rows_nnz_level_ms,34,"ms (K=5, skew-nnz#r1)",hardware-dependent,bench/results/2026-08-31-3090x2/report.md,61,"| 5 | 0 | 2,683 | 34 |"
L-134,bench_skewed_rows_nnz_levels,K6: candidates=0; frequent=1458,count,deterministic,bench/results/2026-08-31-3090x2/report.md,62,"skewed_rows per-level: | 6 | 0 | 1,458 | 40 |"
L-135,bench_skewed_rows_nnz_level_ms,40,"ms (K=6, skew-nnz#r1)",hardware-dependent,bench/results/2026-08-31-3090x2/report.md,62,"| 6 | 0 | 1,458 | 40 |"
L-136,bench_skewed_rows_nnz_levels,K7: candidates=0; frequent=443,count,deterministic,bench/results/2026-08-31-3090x2/report.md,63,skewed_rows per-level: | 7 | 0 | 443 | 22 |
