qkey,category,unit,description,claimed_value_tex,tex_lines,reproducibility
null_perm4_k6_count,deterministic,itemsets,"Null-model itemsets at K=6 in permutation 4 of 5 (per-run values of the null-model JSON; their mean is null_k6_mean = 22, max null_k6_max = 23).",review:22,review_b2_results.md:149,rerun
null_perm5_k6_count,deterministic,itemsets,"Null-model itemsets at K=6 in permutation 5 of 5 (per-run values of the null-model JSON; their mean is null_k6_mean = 22, max null_k6_max = 23).",review:22,review_b2_results.md:150,rerun
null_cv_max_k2to6_pct,deterministic,%,Maximum coefficient of variation of the null itemset counts across the 5 permutations over K=2..6 ('CV < 5% for all K levels').,review:< 5%,review_b2_results.md:177,derived
null_p_bound_kge7_100perms,deterministic,p,Hypothetical 95% upper bound on P(K>=7 | null) with 0 events in 100 permutations (1 - 0.05^(1/100) = 0.030).,review:0.030,review_b2_results.md:181,derived
null_perms_ideal,method-parameter,permutations,"Number of permutations the B2 review calls ideal (1,000; cf. null_perms_for_p001 = the 100+ the paper itself mentions / the review's minimum).",review:1000,review_b2_results.md:181,setup
null_p_bound_kge7_1000perms,deterministic,p,"Hypothetical 95% upper bound on P(K>=7 | null) with 0 events in 1,000 permutations (0.003).",review:0.003,review_b2_results.md:181,derived
null_p_bound_kge7_rule_of_three,deterministic,p,"Rule-of-three estimate of the upper bound on P(K>=7 | null) for 0 events in 5 permutations (3/5 = 0.6; June review), a different formula from the exact binomial bound null_p_bound_kge7 (1 - 0.05^(1/5) = 0.45).",review:3/5 = 0.6,senior_review_jun01.md:84,derived
null_k6_range,deterministic,itemsets,Range (min-max) of null itemsets at K=6 over the 5 permutations (20-23; the max is null_k6_max).,review:20–23,review_b2_results.md:183,rerun
null_minc8_kmax,deterministic,K,"Maximum K a null model run at the Opus threshold (min_count = 8, 0.00001%) would reach; hypothetical, never run ('UNKNOWN (could be K=7, 8, or higher)').","review:UNKNOWN (could be K=7, 8, or higher)",review_b2_results.md:196,rerun
null_minc8_min_count,method-parameter,proteins,"Threshold of the null-model rerun requested by the B2 and March reviews: min_count = 8 (0.00001%), i.e. run_opus_min_count applied to the null model.",review:min_count=8 (0.00001%) / 8,review_b2_results.md:308;senior_review_mar23.md:29,setup
null_uncovered_k_range,deterministic,K range,K range of biological patterns not covered by any null test (K=15-22: beyond run_power_direct_kmax = 14 of the 0.001% Direct run that the 5-permutation null model is paired with).,review:K=15–22,review_b2_results.md:198;review_b2_results.md:304;review_b2_results.md:308;senior_review_mar23.md:29,derived
null_perm1_time_s,hardware-dependent,s,Runtime of null permutation 1 of 5 (null-model JSON; the five sum to null_total_time_s = 662.17 s).,review:99.22 s,review_b2_results.md:209,hardware
null_perm2_time_s,hardware-dependent,s,Runtime of null permutation 2 of 5 (null-model JSON; the five sum to null_total_time_s = 662.17 s).,review:135.62 s,review_b2_results.md:209,hardware
null_perm3_time_s,hardware-dependent,s,Runtime of null permutation 3 of 5 (null-model JSON; the five sum to null_total_time_s = 662.17 s).,review:141.97 s,review_b2_results.md:209,hardware
null_perm4_time_s,hardware-dependent,s,Runtime of null permutation 4 of 5 (null-model JSON; the five sum to null_total_time_s = 662.17 s).,review:143.06 s,review_b2_results.md:209,hardware
null_perm5_time_s,hardware-dependent,s,Runtime of null permutation 5 of 5 (null-model JSON; the five sum to null_total_time_s = 662.17 s).,review:142.30 s,review_b2_results.md:209,hardware
ext_interpro2go_pf00270_go_terms,external-fact,GO terms,"GO terms mapped by InterPro2GO to IPR011545 (the InterPro entry integrating PF00270 DEAD/DEAH helicase): 2 (GO:0003676, GO:0005524).","review:2 GO terms (GO:0003676, GO:0005524)",review_b2_results.md:222-224,external
ext_interpro2go_pf00271_go_terms,external-fact,GO terms,GO terms mapped by InterPro2GO to IPR001650 (integrating PF00271 Helicase C-terminal): 0.,review:0 GO terms,review_b2_results.md:225-226,external
k22_n_go,deterministic,features,GO members of the K=22 itemset = k22_n_go_mf + k22_n_go_bp + k22_n_go_cc (8 + 4 + 7 = 19).,review:19,review_b2_results.md:228;review_b2_results.md:237;review_b2_results.md:241;review_b2_results.md:249;review_b2_results.md:297,derived
vocab_go_mf_frequent,deterministic,items,"GO Molecular Function terms in the 1,002-feature vocabulary as broken down by the pre-March paper's Table 1 (302); the B2 review says the MF/BP/CC split cannot be reproduced from the item mapping (500 GO terms in total).",review:302,review_b2_results.md:267,rerun
vocab_go_bp_frequent,deterministic,items,"GO Biological Process terms in the 1,002-feature vocabulary per the pre-March paper's Table 1 (289); see vocab_go_mf_frequent.",review:289,review_b2_results.md:268,rerun
vocab_go_cc_frequent,deterministic,items,"GO Cellular Component terms in the 1,002-feature vocabulary per the pre-March paper's Table 1 (161); see vocab_go_mf_frequent.",review:161,review_b2_results.md:269,rerun
vocab_items_infrequent,deterministic,items,"Item-mapping entries below the Opus threshold (min_count = 8) = vocab_items_defined - vocab_items_frequent = 1,006 - 1,002 = 4 (plddt_mean_low + 3 plddt_fraction bins; the March review's '4 [bins] have < 8 proteins').",review:4,review_b2_results.md:276;senior_review_mar23.md:70,derived
vocab_plddt_fraction_bins,deterministic,items,"pLDDT-fraction bins in the 1K item mapping (3 plddt_fraction items, all infrequent at min_count = 8).",review:3,review_b2_results.md:276,setup
vocab_plddt_infrequent_support,deterministic,proteins,"Support of the infrequent pLDDT bins (plddt_mean_low, and the 3 plddt_fraction bins): < 8 proteins each, i.e. below run_opus_min_count.",review:< 8,review_b2_results.md:277;senior_review_mar23.md:70,rerun
vocab_composition,deterministic,Pfam:GO:pLDDT,"Composition of the 1,002-feature vocabulary as a Pfam:GO:pLDDT triple (500:500:2 per the item mapping and the fixed Table 1; the pre-March paper's Table 1 said 247:752:3).",review:500:500:2 (not 247:752:3) / 247/752/3 → 500/500/2 / 500/500/2,review_b2_results.md:279;review_b2_results.md:302;senior_review_jun01.md:138;senior_review_jun01.md:149;senior_review_mar23.md:89,rerun
vocab_v35k_items,deterministic,items,"Size of the expanded (35K) vocabulary (35,012 features; '35K' is the rounded form). The '1,002 -> 35,012' rows are keyed here; their old value is vocab_items_frequent.","review:35K / 35,012 / 1,002 → 35,012 / 35012",revision_notes_b3.tex:1;revision_notes_b3.tex:14;revision_notes_b3.tex:25;revision_notes_b3.tex:54;revision_notes_b3.tex:192;revision_notes_b3.tex:210;revision_notes_b3.tex:246;revision_notes_b3.tex:251;revision_notes_b3.tex:290;revision_notes_b3.tex:312;revision_notes_b3.tex:318;revision_notes_b3.tex:322;revision_notes_b3.tex:329;revision_notes_b3.tex:336;revision_notes_b3.tex:341;revision_notes_b3.tex:355;revision_notes_b3.tex:356;revision_notes_b3.tex:363;revision_notes_b3.tex:373;revision_notes_b3.tex:377;revision_notes_b3.tex:380;revision_notes_b3.tex:413;revision_notes_b3.tex:415;revision_notes_b3.tex:422;revision_notes_b3.tex:429;revision_notes_b3.tex:437;revision_notes_b3.tex:474;revision_notes_b3.tex:534;revision_notes_b3.tex:586;revision_notes_b3.tex:600;revision_notes_b3.tex:624;revision_notes_b3.tex:639;revision_notes_b3.tex:21;revision_notes_b3.tex:60;revision_notes_b3.tex:99;revision_notes_b3.tex:117;revision_notes_b3.tex:127;revision_notes_b3.tex:201;revision_notes_b3.tex:215;revision_notes_b3.tex:240;revision_notes_b3.tex:264;revision_notes_b3.tex:320;revision_notes_b3.tex:388;revision_notes_b3.tex:470;revision_notes_b3.tex:628;senior_review_jun01.md:78,setup
vocab_v35k_sources,method-parameter,sources,"Annotation sources in the 35K vocabulary (7: InterPro, GO, EC, UniProt Keywords, taxonomy, sequence length, pLDDT).",review:7,revision_notes_b3.tex:99;revision_notes_b3.tex:129;revision_notes_b3.tex:355,setup
vocab_v35k_vs_1k_ratio,deterministic,x,"vocab_v35k_items / vocab_items_frequent (35,012 / 1,002 ~ 35x).",review:35×,revision_notes_b3.tex:100,derived
vocab_v35k_min_count,method-parameter,proteins,"Minimum protein count for a feature to be retained in the 35K vocabulary (3,423).","review:3,423",revision_notes_b3.tex:101;revision_notes_b3.tex:185,setup
vocab_v35k_min_count_pct,method-parameter,%,"vocab_v35k_min_count as a share of run_v35k_n_transactions (3,423 / 109.2M ~ 0.003%).",review:~0.003%,revision_notes_b3.tex:185,derived
vocab_v35k_interpro,deterministic,items,"InterPro domain/family features in the 35K vocabulary (12,773; replaces the Pfam column of the 1K vocabulary). The '247 -> 12,773' row is keyed here; its old value is vocab_pfam_frequent.","review:12,773 / 247 → 12,773",revision_notes_b3.tex:109;revision_notes_b3.tex:131;revision_notes_b3.tex:135;revision_notes_b3.tex:329;revision_notes_b3.tex:134-135;senior_review_mar23.md:50,setup
vocab_v35k_go,deterministic,items,"GO terms (all three ontologies) in the 35K vocabulary (5,763). The '752 -> 5,763' row is keyed here; its old value is vocab_go_frequent.","review:5,763 / 752 → 5,763",revision_notes_b3.tex:110;revision_notes_b3.tex:137;revision_notes_b3.tex:140;revision_notes_b3.tex:139-140;senior_review_mar23.md:16,setup
vocab_v35k_ec,deterministic,items,"Enzyme Commission number features (leaf-only) in the 35K vocabulary (1,107).","review:1,107",revision_notes_b3.tex:111;revision_notes_b3.tex:144;revision_notes_b3.tex:330,setup
vocab_v35k_keywords,deterministic,items,"UniProt Keyword features in the 35K vocabulary (15,162).","review:15,162",revision_notes_b3.tex:112;revision_notes_b3.tex:151;revision_notes_b3.tex:330,setup
vocab_v35k_taxa,deterministic,items,"Taxonomic-lineage features (class-level, leaf-only) in the 35K vocabulary (175).",review:175,revision_notes_b3.tex:113;revision_notes_b3.tex:158,setup
vocab_v35k_length_bins,method-parameter,items,Sequence-length bins (log-scale) in the 35K vocabulary (26).,review:26,revision_notes_b3.tex:114;revision_notes_b3.tex:166;revision_notes_b3.tex:168,setup
vocab_v35k_length_bin_edges,method-parameter,aa,"Edges of the log-scale sequence-length bins (100-150, 150-200, ..., >5,000 aa; 26 categories).","review:100–150, 150–200, …, >5,000 aa",revision_notes_b3.tex:167-168,setup
vocab_v35k_plddt_bins,method-parameter,items,pLDDT confidence bins in the 35K vocabulary (6 = 3 mean-pLDDT + 3 high-confidence-fraction bins; tab:features-35k Run 2 column). The '3 -> 6' row is keyed here; its old value ('3 bins in the 1K set') is vocab_plddt_frequent. The 1K item mapping also defines 6 bins (vocab_plddt_defined).,review:6 / 3 → 6,revision_notes_b3.tex:115;revision_notes_b3.tex:172;revision_notes_b3.tex:173;revision_notes_b3.tex:175;senior_review_mar23.md:17;senior_review_mar23.md:70,setup
vocab_v35k_plddt_bin_scheme,method-parameter,bins,"pLDDT binning scheme of the 35K vocabulary: three mean-pLDDT bins (<70, 70-90, >90) plus three bins for the fraction of high-confidence residues.","review:3 mean-pLDDT bins (<70, 70–90, >90) + 3 fraction bins",revision_notes_b3.tex:173-174,setup
vocab_v35k_ec_features_per_annotation,method-parameter,features,"Features contributed by one EC annotation under leaf-only encoding (1, not 4 = leaf + three ancestors).",review:1 (not 4),revision_notes_b3.tex:346,setup
vocab_v35k_added_sources,method-parameter,sources,"Annotation sources added over the 1K vocabulary (4: EC numbers, UniProt Keywords, taxonomic lineage, sequence length).",review:4,revision_notes_b3.tex:474-476,setup
run_v35k_support_pct,method-parameter,%,"Support threshold of the completed 35K 'Power' run (0.001%; the only tab:campaign-35k row with results in revision_notes_b3, also the threshold of the 35K controlled comparison).",review:0.001%,revision_notes_b3.tex:14;revision_notes_b3.tex:23;revision_notes_b3.tex:39;revision_notes_b3.tex:54;revision_notes_b3.tex:60;revision_notes_b3.tex:336;revision_notes_b3.tex:387;revision_notes_b3.tex:555;revision_notes_b3.tex:565;revision_notes_b3.tex:567;revision_notes_b3.tex:574;revision_notes_b3.tex:637,setup
run_v35k_n_transactions,deterministic,proteins,"Transactions of the 35K campaign = proteins with at least one 35K-vocabulary feature (109,224,173; '109.2 million' / '109M' are rounded). The '76.9M -> 109.2M' row is keyed here; its old value is dataset_multi_feature.","review:109.2 million / 76.9M → 109.2M / 109M / 109 million / 109.2M / 109,224,173 / 109M",revision_notes_b3.tex:22;revision_notes_b3.tex:177;revision_notes_b3.tex:185;revision_notes_b3.tex:177-178;revision_notes_b3.tex:223;revision_notes_b3.tex:292;revision_notes_b3.tex:295;revision_notes_b3.tex:336;senior_review_jun01.md:78;senior_review_jun01.md:90;senior_review_mar23.md:86,rerun
run_v35k_replicates,method-parameter,replicates,Replicates of the 35K 0.001% run over which mean ± std is reported (3).,review:3,revision_notes_b3.tex:23;revision_notes_b3.tex:61,setup
run_v35k_itemsets,deterministic,itemsets,"Frequent itemsets of the 35K 0.001% run (606,292 ± 28 over 3 replicates; '606K' rounded). The June review reports the paper later superseding this by run_v35k_16p8b_itemsets after the NCCL int32 fix.","review:606,292 ± 28 / 606K / 606,292",revision_notes_b3.tex:39;revision_notes_b3.tex:61;revision_notes_b3.tex:637;revision_notes_b3.tex:430;revision_notes_b3.tex:645;senior_review_jun01.md:143,rerun
run_v35k_min_count,method-parameter,proteins,"Minimum protein count of the 35K 0.001% run: 1,093 = ceil(1e-5 x 109,224,173) in revision_notes_b3; the June-reviewed paper prints 1,092 (round instead of ceil, BX-03). '> 1,000' is a phrasing of the same threshold.","review:1,093 / > 1,000 / 1,092 / 1,092 → 1093",revision_notes_b3.tex:39;revision_notes_b3.tex:320;revision_notes_b3.tex:336;revision_notes_b3.tex:340;senior_review_jun01.md:90,derived
run_v35k_min_count_raw,deterministic,proteins,Unrounded 0.001% x run_v35k_n_transactions (1092.24) from which run_v35k_min_count is ceil'd.,review:1092.24,senior_review_jun01.md:90,derived
run_v35k_kmax,deterministic,K,Maximum itemset length of the 35K 0.001% run (17). The 'K=22 -> K=17' row is keyed here; its old value is run_opus_kmax.,review:17 / K=22 → K=17 / K_max=17,revision_notes_b3.tex:39;revision_notes_b3.tex:320;revision_notes_b3.tex:322;revision_notes_b3.tex:356;revision_notes_b3.tex:431;revision_notes_b3.tex:643;revision_notes_b3.tex:658;revision_notes_b3.tex:319-320;senior_review_jun01.md:143,rerun
run_v35k_time_s,hardware-dependent,s,Wall-clock of the 35K 0.001% run (654.3 ± 6.7 s over 3 replicates; '654 s').,review:654.3 ± 6.7 s / 654 s,revision_notes_b3.tex:39;senior_review_jun01.md:143,hardware
run_v35k_replicate_variance_profile,deterministic,profile,"Which K-levels of the 35K 0.001% run vary between the 3 replicates (deterministic at K<=3 and K>=11; minor variance at K=4..10, attributed to GPU floating-point non-determinism in the row-split reduction).",review:deterministic at K≤3 and K≥11; variance at K=4..10,revision_notes_b3.tex:62-64,rerun
run_v35k_items_per_transaction,deterministic,items per transaction,Average annotated features per protein in the 35K dataset (~12; the |t| of the cost argument).,review:~12,revision_notes_b3.tex:291;revision_notes_b3.tex:355,rerun
run_v35k_transactions_per_gpu,deterministic,proteins,Proteins per GPU under the 4-GPU row split (~27M / ~27.3M = 109.2M / 4).,review:~27M / ~27.3M,revision_notes_b3.tex:239;revision_notes_b3.tex:627,derived
run_v35k_coverage_pct,deterministic,%,100 x run_v35k_n_transactions / dataset_plddt_pass (109.2M / 205.6M = 53.1%; the 35K analogue of dataset_multi_feature_pct).,review:53.1%,senior_review_jun01.md:93;senior_review_jun01.md:99,derived
run_v35k_vs_opus_min_count_ratio,deterministic,x,"run_v35k_min_count / run_opus_min_count (1,093 / 8 ~ 137x).",review:137×,revision_notes_b3.tex:337,derived
run_v35k_son_chunk_size,method-parameter,transactions,Example SON chunk size in the 35K SON-infeasibility argument (N_chunk = 40M transactions -> mem_v35k_son_chunk_bitvec_gb).,review:40M,revision_notes_b3.tex:212;revision_notes_b3.tex:215,setup
run_v35k_son_chunk_size_reduced,method-parameter,transactions,Reduced SON chunk size considered in the same argument (N_chunk = 30M -> mem_v35k_son_chunk_bitvec_reduced_gb).,review:30M,revision_notes_b3.tex:222,setup
run_v35k_son_passes,deterministic,passes,Sequential SON passes needed at 30M-transaction chunks: ceil(109M / 30M) = 4.,review:4,revision_notes_b3.tex:223,derived
run_v35k_son_hang_hours,hardware-dependent,h,Duration a 35K SON streaming run on 4xH200 hung at Pass 1 before being terminated (> 22 h).,review:> 22 hours,revision_notes_b3.tex:231,hardware
run_v35k_super_support_pct,method-parameter,%,Support threshold of the 35K Super row of tab:campaign-35k (0.01%; results TBD in revision_notes_b3).,review:0.01%,revision_notes_b3.tex:38;revision_notes_b3.tex:655,setup
run_v35k_super_min_count,method-parameter,proteins,"Minimum protein count of the 35K Super row (10,923).","review:10,923",revision_notes_b3.tex:38,derived
run_v35k_blitz_support_pct,method-parameter,%,Support threshold of the 35K Blitz row of tab:campaign-35k (0.0001%; results TBD in revision_notes_b3).,review:0.0001%,revision_notes_b3.tex:40;revision_notes_b3.tex:566;revision_notes_b3.tex:655,setup
run_v35k_blitz_min_count,method-parameter,proteins,"Minimum protein count of the 35K Blitz row (109) (BX-07: ceil(1e-6 x 109,224,173) = 110).",review:109,revision_notes_b3.tex:40,derived
run_v35k_ultra_support_pct,method-parameter,%,Support threshold of the 35K Ultra row of tab:campaign-35k (0.00002%; results TBD in revision_notes_b3).,review:0.00002%,revision_notes_b3.tex:41,setup
run_v35k_ultra_min_count,method-parameter,proteins,Minimum protein count of the 35K Ultra row (22).,review:22,revision_notes_b3.tex:41,derived
run_v35k_opus_support_pct,method-parameter,%,Support threshold of the 35K Opus row of tab:campaign-35k (0.00001%; results TBD in revision_notes_b3).,review:0.00001%,revision_notes_b3.tex:42;revision_notes_b3.tex:337,setup
run_v35k_opus_min_count,method-parameter,proteins,Minimum protein count of the 35K Opus row (11).,review:11,revision_notes_b3.tex:42,derived
run_v35k_wave3_support_pct,method-parameter,%,"Support threshold of the 35K Base run (0.1%; results_35k/wave3_base_partial.log, timed out during K=10).",review:0.1%,revision_notes_b3.tex:37;revision_notes_b3.tex:47;revision_notes_b3.tex:585;revision_notes_b3.tex:600;revision_notes_b3.tex:605;revision_notes_b3.tex:654,setup
run_v35k_wave3_min_count,method-parameter,proteins,"Minimum protein count of the 35K Base run (109,225 = ceil(1e-3 x 109,224,173)).","review:109,225",revision_notes_b3.tex:37;revision_notes_b3.tex:585;revision_notes_b3.tex:605,derived
run_v35k_wave3_kmax,deterministic,K,Maximum K of the 35K Base run: partial '>=10' (K=10 started before the timeout); predicted '> 15' when complete.,review:≥10 / > 15,revision_notes_b3.tex:37;revision_notes_b3.tex:600-601,rerun
run_v35k_wave3_itemsets,deterministic,itemsets,Total frequent itemsets of the 35K Base run (prediction only: 'tens of millions'; the run is incomplete).,review:tens of millions,revision_notes_b3.tex:601;revision_notes_b3.tex:611-612,rerun
run_v35k_wave3_k10_candidates,deterministic,candidates,"Locally frequent K=10 candidates at the start of the level that timed out in the 35K Base run (12,491,079).","review:12,491,079",revision_notes_b3.tex:49;revision_notes_b3.tex:597;revision_notes_b3.tex:607,rerun
kdist_v35k_wave3_k1_count,deterministic,itemsets,"Frequent itemsets of length K=1 in the 35K Base (0.1%) run, Wave-3 partial log.","review:1,164",revision_notes_b3.tex:588;revision_notes_b3.tex:608,rerun
run_v35k_wave3_k1_time_s,hardware-dependent,s,"Level time of K=1 in the 35K Base (0.1%) run, Wave-3 partial log.",review:0.3 s,revision_notes_b3.tex:588,hardware
kdist_v35k_wave3_k2_count,deterministic,itemsets,"Frequent itemsets of length K=2 in the 35K Base (0.1%) run, Wave-3 partial log.","review:8,554",revision_notes_b3.tex:589;revision_notes_b3.tex:609,rerun
run_v35k_wave3_k2_time_s,hardware-dependent,s,"Level time of K=2 in the 35K Base (0.1%) run, Wave-3 partial log.",review:1.2 s,revision_notes_b3.tex:589,hardware
kdist_v35k_wave3_k3_count,deterministic,itemsets,"Frequent itemsets of length K=3 in the 35K Base (0.1%) run, Wave-3 partial log.","review:28,804",revision_notes_b3.tex:590;revision_notes_b3.tex:609,rerun
run_v35k_wave3_k3_time_s,hardware-dependent,s,"Level time of K=3 in the 35K Base (0.1%) run, Wave-3 partial log.",review:2.0 s,revision_notes_b3.tex:590,hardware
kdist_v35k_wave3_k4_count,deterministic,itemsets,"Frequent itemsets of length K=4 in the 35K Base (0.1%) run, Wave-3 partial log.","review:88,561",revision_notes_b3.tex:591;revision_notes_b3.tex:609,rerun
run_v35k_wave3_k4_time_s,hardware-dependent,s,"Level time of K=4 in the 35K Base (0.1%) run, Wave-3 partial log.",review:5.3 s,revision_notes_b3.tex:591,hardware
kdist_v35k_wave3_k5_count,deterministic,itemsets,"Frequent itemsets of length K=5 in the 35K Base (0.1%) run, Wave-3 partial log.","review:280,784",revision_notes_b3.tex:592;revision_notes_b3.tex:609,rerun
run_v35k_wave3_k5_time_s,hardware-dependent,s,"Level time of K=5 in the 35K Base (0.1%) run, Wave-3 partial log.",review:17.5 s,revision_notes_b3.tex:592,hardware
kdist_v35k_wave3_k6_count,deterministic,itemsets,"Frequent itemsets of length K=6 in the 35K Base (0.1%) run, Wave-3 partial log.","review:835,466",revision_notes_b3.tex:593;revision_notes_b3.tex:609,rerun
run_v35k_wave3_k6_time_s,hardware-dependent,s,"Level time of K=6 in the 35K Base (0.1%) run, Wave-3 partial log.",review:52.1 s,revision_notes_b3.tex:593,hardware
kdist_v35k_wave3_k7_count,deterministic,itemsets,"Frequent itemsets of length K=7 in the 35K Base (0.1%) run, Wave-3 partial log.","review:2,207,022",revision_notes_b3.tex:594;revision_notes_b3.tex:610,rerun
run_v35k_wave3_k7_time_s,hardware-dependent,s,"Level time of K=7 in the 35K Base (0.1%) run, Wave-3 partial log.",review:145.3 s,revision_notes_b3.tex:594,hardware
kdist_v35k_wave3_k8_count,deterministic,itemsets,"Frequent itemsets of length K=8 in the 35K Base (0.1%) run, Wave-3 partial log.","review:5,063,845",revision_notes_b3.tex:595;revision_notes_b3.tex:610,rerun
run_v35k_wave3_k8_time_s,hardware-dependent,s,"Level time of K=8 in the 35K Base (0.1%) run, Wave-3 partial log.",review:348.5 s,revision_notes_b3.tex:595,hardware
kdist_v35k_wave3_k9_count,deterministic,itemsets,"Frequent itemsets of length K=9 in the 35K Base (0.1%) run, Wave-3 partial log.","review:10,041,611",revision_notes_b3.tex:48;revision_notes_b3.tex:596;revision_notes_b3.tex:606;revision_notes_b3.tex:610,rerun
run_v35k_wave3_k9_time_s,hardware-dependent,s,"Level time of K=9 in the 35K Base (0.1%) run, Wave-3 partial log.",review:743.4 s,revision_notes_b3.tex:596,hardware
kdist_v35k_k1_count,deterministic,itemsets,Frequent itemsets of length K=1 in the 35K 0.001% run (tab:kdist-35k).,"review:34,920",revision_notes_b3.tex:73;revision_notes_b3.tex:400;revision_notes_b3.tex:448,rerun
kdist_v35k_k1_pct,deterministic,%,100 x kdist_v35k_k1_count / run_v35k_itemsets.,review:5.76%,revision_notes_b3.tex:73,derived
kdist_v35k_k2_count,deterministic,itemsets,Frequent itemsets of length K=2 in the 35K 0.001% run (tab:kdist-35k).,"review:46,853",revision_notes_b3.tex:74,rerun
kdist_v35k_k2_pct,deterministic,%,100 x kdist_v35k_k2_count / run_v35k_itemsets.,review:7.73%,revision_notes_b3.tex:74,derived
kdist_v35k_k3_count,deterministic,itemsets,Frequent itemsets of length K=3 in the 35K 0.001% run (tab:kdist-35k).,"review:53,238",revision_notes_b3.tex:75,rerun
kdist_v35k_k3_pct,deterministic,%,100 x kdist_v35k_k3_count / run_v35k_itemsets.,review:8.78%,revision_notes_b3.tex:75,derived
kdist_v35k_k4_count,deterministic,itemsets,Frequent itemsets of length K=4 in the 35K 0.001% run (tab:kdist-35k).,"review:59,086",revision_notes_b3.tex:76,rerun
kdist_v35k_k4_pct,deterministic,%,100 x kdist_v35k_k4_count / run_v35k_itemsets.,review:9.75%,revision_notes_b3.tex:76,derived
kdist_v35k_k5_count,deterministic,itemsets,Frequent itemsets of length K=5 in the 35K 0.001% run (tab:kdist-35k).,"review:62,226",revision_notes_b3.tex:77,rerun
kdist_v35k_k5_pct,deterministic,%,100 x kdist_v35k_k5_count / run_v35k_itemsets.,review:10.26%,revision_notes_b3.tex:77,derived
kdist_v35k_k6_count,deterministic,itemsets,Frequent itemsets of length K=6 in the 35K 0.001% run (tab:kdist-35k).,"review:63,708",revision_notes_b3.tex:78,rerun
kdist_v35k_k6_pct,deterministic,%,100 x kdist_v35k_k6_count / run_v35k_itemsets.,review:10.51%,revision_notes_b3.tex:78,derived
kdist_v35k_k7_count,deterministic,itemsets,Frequent itemsets of length K=7 in the 35K 0.001% run (tab:kdist-35k). The peak level (kdist_v35k_peak_k = 7).,"review:64,396",revision_notes_b3.tex:79,rerun
kdist_v35k_k7_pct,deterministic,%,100 x kdist_v35k_k7_count / run_v35k_itemsets. Also quoted as the peak share ('Peak at K=7 (10.62%)').,review:10.62%,revision_notes_b3.tex:61;revision_notes_b3.tex:79,derived
kdist_v35k_k8_count,deterministic,itemsets,Frequent itemsets of length K=8 in the 35K 0.001% run (tab:kdist-35k).,"review:62,948",revision_notes_b3.tex:80,rerun
kdist_v35k_k8_pct,deterministic,%,100 x kdist_v35k_k8_count / run_v35k_itemsets.,review:10.38%,revision_notes_b3.tex:80,derived
kdist_v35k_k9_count,deterministic,itemsets,Frequent itemsets of length K=9 in the 35K 0.001% run (tab:kdist-35k).,"review:55,582",revision_notes_b3.tex:81,rerun
