uniprotAccession,globalMetricValue
A0A0G3U698,71.5
D8JB75,91.62
A0A0G3U5W1,72.81
D2J167,64.12
A0A7J9PT64,92.69
A0A1H5YFK0,80.31
A0A1H5VQ44,93.06
D8J8D8,93.44
A0A7J3WBM7,82.12
A0A101FSE3,83.12
A0A7J3YU54,83.38
A0A7J3JPG8,65.19
A0A1D8S251,75.94
A0A7J3JR61,77.31
A0A7J3XZC1,96.0
D0KUB7,94.0
A0A1G6KZD8,93.75
A0A7J3X9S9,74.62
A0A7J3M0W7,95.44
A0A1G6SZ50,91.75
A0A1D8S3M8,91.75
A0A7J3SJD1,88.0
A0A7J2T8L2,96.25
A0A7J3I6L6,89.19
A0A1H6B082,91.56
A0A1H5VQ28,93.12
A0A3G8DM92,31.72
A0A1H6CR82,88.5
A0A1I0CE87,84.56
A0A1H5VD23,85.44
A0A1I0JT13,82.5
A0A1I7B6L6,78.75
A0A7J3X5C8,74.75
A0A558GCV6,85.62
A0A1H5UDL5,94.31
A0A1H5UWN1,90.94
A0A1H5VZV8,75.5
A0A1Z1GZG1,98.25
A0A1H6CP25,97.06
A0A1I0E7N5,91.25
A0A1G6SXA1,89.44
A0A7J2TI10,95.12
D0KUP9,93.75
A0A1H9ZQP0,92.56
A0A7J3SM35,85.5
A0A7J2TIX6,98.06
D0KN86,97.62
A0A124G699,93.5
A0A1H5X6B3,88.0
A0A1H5WTS3,90.06
A0A1H5W8F7,76.75
A0A1H5WL38,72.19
A0A7J2U1K3,96.62
A0A7J3LZZ0,87.81
A0A1H5ZKW0,86.38
A0A7J3XZX1,66.88
D0UHK2,73.25
G8IHU4,67.06
A0A1I0FAQ4,96.5
A0A7J3X951,92.31
A0A150JN72,94.62
A0A7J3QE15,92.75
A0A7J3XYR6,95.81
A0A1N5S804,86.69
A0A1D9ISY4,74.19
A0A7J3SKG8,84.31
A0A7J3M1F7,96.5
A0A140CT19,97.31
A0A7J3Z965,85.75
A0A7J2TGX6,77.5
A0A7J3XZN0,88.75
B3T5K1,94.38
A0A7J9S6M2,86.81
A0A7J3G5A0,92.25
A0A1N7CLU3,77.94
A0A7J3X8I5,86.88
A0A7J3ZME9,34.06
A0A7J3Z9Z3,94.25
A0A7J3JP83,43.03
A0A7J2TIC5,90.44
A0A7J2TGG6,96.31
Q3I2F4,67.62
B3T502,94.38
A0A1D8S3A2,69.62
A0A7J3X8Q5,90.94
A0A7J3ZLH3,94.19
A0A7J2T9D8,87.56
A0A7J3JNM6,94.94
A0A7J3Y000,83.62
A0A7J4IU26,63.66
A0A7J4K0F3,93.62
A0A1H6CUW1,91.25
A0A1L3Q0M8,96.44
A0A1G6VEN6,94.88
A0A1G6MKW9,85.69
A0A7J3TJW7,94.38
A0A1G6KRX7,57.03
C0LKU0,97.75
A0A7J3QFN0,45.19
A0A7J3I6Q7,97.12
A0A2R4RNZ7,94.38
A0A7J3JP78,36.03
A0A7J2TLA6,86.5
A0A7J4KRR3,92.19
A0A7J3M2C4,88.06
A0A1I7AI35,62.78
A0A7J3SLP6,95.19
A0A7J3JTJ1,92.88
A0A7J2U680,86.06
A0A7J3X544,50.16
A0A7J3Z9M9,90.75
A0A7J3M183,94.19
A0A7J9S1H0,94.25
G9CT28,72.38
A0A1I0AYD7,77.5
A0A7J3MZV0,88.0
A0A7J3XZJ7,91.12
A0A1G6U788,94.06
A0A7J3M0M4,91.81
A0A7J3XYF6,90.69
A0A7J3QGQ5,89.69
A0A7J2TIW8,91.31
F2WQ95,71.0
A0A7J3ZIQ4,87.75
A0A7J2T9G2,79.69
A0A1I0I2G3,97.31
A0A7J3JQZ2,93.25
A0A7J3XYF8,96.44
D8J7M0,92.0
A0A7J3X9L1,86.25
A0A7J3ZKP4,86.31
A0A1I0IAB9,78.94
A0A1G6ZCC9,85.0
A0A7J3QDA5,94.56
A0A7J3QF74,89.12
A0A7J3QD95,94.81
A0A7J3X853,95.62
A0A7J3M2P3,91.94
A0A7J3THA5,81.31
A0A7J3TGX0,75.5
A0A7J3JNH2,80.31
A0A7J3MZ40,86.38
A0A7J3M2K3,80.0
D8J7R1,86.94
A0A117LFU8,93.06
A0A558G9G4,81.0
A0A0G3U4X1,68.88
A0A7J3PL26,58.84
D8J6A9,89.12
B3V5V0,83.25
A0A7J3X9R2,85.38
A0A7J3KF50,95.44
A0A2R4RND1,94.75
D8J3W7,87.06
A0A150IMA0,96.75
B3V6X0,86.0
A0A7J3I7A5,94.38
A0A7J2U1N2,85.62
A0A558FZR1,91.0
A0A2R2Y649,66.44
B3T8B4,91.38
A0A7J3M327,93.25
A0A7J3XXV9,96.62
D8J935,85.56
D2KZW9,98.5
A0A0Y0AZ97,98.38
B3V6S3,97.38
S5ZK10,87.19
A0A1I0DHG4,72.88
A0A1G6NHK6,78.94
A0A7J3JPM8,79.06
A0A7J3N0L1,97.12
D8JBU3,85.5
A0A150IXT5,89.19
D8JCG8,55.47
D8JA69,73.19
D0KVA7,62.41
D0KNY3,92.5
A0A101FUB3,84.81
A0A2R2Y6E0,73.31
A0A2R4RNB1,93.31
A0A150JFR1,88.56
A0A2R6CCN6,75.5
A0A1I6X7S5,94.38
A0A7J2U247,87.81
A0A7J3XY83,94.62
D8JBH8,91.88
B3T470,89.5
A0A2R4RNK3,92.75
D8J5C5,89.06
A0A7J3WB21,84.06
A0A7J3VT79,84.0
A0A7J4JW94,97.0
A0A7J9P6V6,91.75
A0A7J3UZE5,96.0
A0A150IND9,84.88
R4SF61,97.25
B3UZA7,72.75
A0A7J9PAN4,82.94
A0A7J3UZ45,92.94
F2YC28,70.88
A0A1H5Z8T6,87.12
E0A1F4,87.88
A0A7J3UZK6,95.75
D8JBT4,91.56
A0A7J3VSC0,88.38
A0A7J3G6W7,57.41
A0A7J9P3S1,96.38
A0A7J9S9F5,96.19
D8J8S5,94.69
A0A0G3U544,65.81
A0A7J3UZX4,87.06
A0A150J016,84.88
A0A2R4RNT0,94.19
A0A7J9S7Y3,87.81
A0A7J3WAV3,92.44
A0A7J3VT48,97.06
A0A150IJJ3,93.44
A0A150JIR8,96.62
A0A150IRP9,83.88
A0A482YCR4,86.44
A5YSS0,80.44
A0A1I0IGI2,79.44
A0A1I7AC53,97.19
A0A1I6X6F5,80.06
Q9UXS0,83.69
A0A1N5W844,95.06
A0A150JBJ1,96.62
A0A482T236,86.44
A9AA22,95.5
A0A1I0CQB5,90.94
A0A7J3QG37,90.38
A0A7J3M182,93.31
A0A285FTU7,94.75
A0A1N7E5U3,82.69
A0A150J251,83.75
A0A1I0I8I9,86.19
A0A7J3QDX9,95.56
A0A7J3Z567,88.69
C3S468,81.12
A0A1N5WWP1,84.69
A0A1L3PZV4,89.69
D3T1V7,74.12
A0A2S1TPP9,68.5
Q701W4,66.56
A0A150JBS9,80.38
A9A980,91.69
A0A0H4T215,94.06
A0A1D8RA92,75.88
A0A7J3MXN5,89.44
A0A7J3ZA03,85.69
A0A7J3XYS2,90.94
A9A6E1,92.38
D3SWL5,91.31
A0A023W580,98.25
Q9UZ18,95.88
A0A1G6RGV2,96.19
A0A7J3THY4,94.75
A0A7J3X969,90.19
A0A2S1TQA4,63.09
Q3BAT8,88.12
A8SXD4,80.31
A0A150JK36,83.81
B0KYR5,96.81
A0A1G6YTM0,85.31
A0A1G6SLT3,73.94
A0A7J3M1L1,97.31
C3S3H3,73.75
A0A2R4RN97,92.75
D8J597,77.56
D8J7Z8,94.81
A0A0K1SJI3,94.75
A0A285G0Z2,93.62
B3T9Q4,60.44
B3UYP6,70.06
R9XXS1,69.75
E2I8N3,73.12
E2GDR6,69.19
A0A285GFM4,91.38
A5HAI3,73.0
A0A170SST3,93.5
D8JB90,88.0
D8J9R7,52.84
G3FH78,93.56
B3TAR8,86.38
A0A2R2Y709,70.56
A0A2R4RNS4,95.12
Q3C0U9,79.44
D8J416,95.38
B3T983,88.56
A0A285ENM0,89.62
A0A1L3Q1H0,96.5
Q9UYW5,72.25
A0A5B9DF89,88.62
A0A1N7FPT1,94.25
A0A1L3Q159,82.88
Q0ZNQ1,74.0
D8J347,78.94
A0A285EWT3,90.44
Q0QME1,71.0
B3UYS6,76.5
H6TF85,73.06
A0A1N7F9V7,84.44
A0A2R4RP38,93.88
C1JDC6,70.06
A0A1N5VP42,92.56
H6TF78,74.25
A0A643JWA6,85.88
D8JAP6,73.81
A0A1N7C3B1,92.06
A0A160VUB8,97.12
B0F3C4,64.44
A0A160VSM1,90.94
A0A160VRL1,94.12
A0A1L3Q0F2,90.44
Q5V6Q0,85.19
Q6SIF3,98.06
D2KKT7,77.19
F7PJ73,90.5
A0A7G9YQU4,83.38
A0A7G9Z725,81.88
A0A7G9YM79,52.94
D3SZG6,85.12
Q5V095,83.31
F7PR56,91.56
A0A7G9Z1I5,88.25
Q6L0B8,96.31
A5YST4,88.12
A0A7G9Z6L9,85.19
E7QZ05,80.19
D3SU01,95.31
F7PFC3,89.5
A0A7G9YEA7,71.5
Q464U5,90.12
A0A0U3H448,90.5
A0A482TDF7,79.5
A0A075GA25,89.0
A0A075G8M4,88.88
A0A0F7PE03,53.59
A0A0F7P9I9,96.81
A0A150JC06,86.0
A0A0A7V119,94.12
A0A075GPH0,67.06
A0A075IA08,89.69
A0A075GJH6,89.62
A0A075GFR4,93.25
A0A0F7PCV6,90.88
A0A0A7UZV2,93.25
A0A075GN84,94.62
F1A987,93.69
H9BWW3,91.94
A0A160VSH5,90.25
A0A075GQY1,93.75
A0A0F7PE08,88.88
A0A150ITS2,86.25
A0A150JBX5,91.69
A0A150ILS7,93.44
A0A075HUC7,77.31
A0A075I019,95.56
A0A075FG47,82.06
A0A075FYV8,91.38
A0A1H7G018,56.12
S5ZU61,79.19
A0A0A7UZI2,55.16
A0A075I7U3,92.38
A0A075ICG2,95.0
A0A0F6Q857,92.88
A0A0A7V3Q5,91.69
A0A075H2P7,97.19
A0A075HS19,92.31
A0A075GKB2,95.44
A0A075G6N1,81.31
A0A075FRR6,81.56
A0A1Q1NAT1,97.31
A0A2Z2KXP3,76.81
A0A497EUC8,85.81
J9SYP1,98.06
L0JJQ1,85.0
D3SV18,86.5
A0A117LF58,88.75
A0A558GAQ7,96.69
L0JQV9,90.75
E2IA51,82.31
D0KTY0,93.5
D3SYB1,87.94
A5YSM5,71.56
A0A0B5G167,97.25
X4YKM5,75.25
A0A497F5X3,90.38
F7PK82,73.12
K4HV22,72.0
H2E1X4,96.94
A0A1S7B3V2,98.44
D0KNH2,97.94
A0A117KV07,47.06
L0JIT8,94.62
D3STJ2,72.0
A0A0M9AK67,78.88
D0KRS8,78.19
A0A150JB63,79.25
L0JKD4,79.25
L0AFD5,84.12
D3SZT7,74.69
A0A497F299,39.91
A0A7J4ISU9,84.25
A0A286LUN6,75.69
A0A150JII9,92.0
A0A285GC22,74.5
A0A150IQZ0,90.0
A0A7J4IWC3,52.75
Q9UWT4,89.81
A0A285F6U4,85.69
A0A150IQK1,93.38
A0A7J3V0W5,86.19
A0A7J3UZ97,89.75
A0A150IQC5,80.75
Q6L1P5,85.06
A0A5C2IHZ5,68.75
A9A8J7,89.06
Q9UZ47,97.75
A0A7J4IVY9,82.69
A9A6E2,90.31
A0A7J3G4Q7,89.38
A0A0H4U4Z1,72.38
K4HYI6,75.69
R9XV64,71.62
Q6H0Z7,83.81
A9A8Z7,85.62
Q9UXK4,85.0
Q9UY13,93.25
A0A0H4TBP5,91.44
A0A0H4U598,67.44
P84484,88.31
A0A101FSV1,78.12
A0A117MCP3,93.38
D8J7I5,82.38
W0G920,69.56
Q3SA74,94.31
A0A510N633,86.69
A0A558GAK8,94.75
A0A3G8ETS9,89.38
A0A088MTR4,73.75
Q1HD75,73.25
A0A558G9H3,86.38
B3U0E5,74.88
B3T7R6,96.38
A0A520KG52,93.69
A0A3G8ETZ4,69.69
M9WML4,94.38
A0A101DEA7,96.81
B3T4W5,89.31
I6T1E2,74.12
A0A558GER9,89.62
A0A510N9I3,95.38
D8JB26,96.44
A0A510N929,81.19
I7CA42,75.12
D0KQ12,92.81
A0A090I6I4,77.25
A0A088E530,97.0
A0A088EAA9,94.12
L0AIU1,96.25
A0A150JBI0,89.5
A0A1N5W7D1,95.0
L0JIX3,81.44
E5KJW9,73.0
A0A7C3YH46,95.25
A0A161K9Z5,93.56
Q6X9M1,95.44
A0A1N5WCR5,92.06
A0A1L3Q4C9,91.31
A0A4D6HQ99,85.88
A0A285GII9,83.56
A0A1L3Q498,88.44
L0AG72,91.69
A0A0A1E9F8,72.19
L0JLB3,93.5
A0A7J9PN49,87.81
A0A7J3G6D0,91.94
A0A0H4TMF0,92.88
A0A096ZLC3,68.56
Q6L704,94.94
A0A1N5SJA2,83.69
B0R8P0,87.69
E4NLE6,86.38
A0A150IHJ9,93.75
A0A150IZQ3,38.28
A0A7J4IS72,92.38
A0A6S4IAV5,71.88
A0A0P0UUI6,65.81
A0A2H4ND01,67.94
A0A1N7AAV6,93.62
A0A7C5Q8N5,93.25
A6VF56,83.06
A0A345ECQ7,95.0
A0A345E6T7,80.44
A0A160VTB3,92.25
A0A160VQJ8,94.44
A0A150IJ57,96.19
A0A7J3G3A9,91.56
A0A7J3UZE6,96.06
A0A1V0NBG3,76.31
A6VJV7,92.75
A0A345DZY6,64.12
A0A150JL97,84.5
A0A7C4BC05,96.62
A0A7C4I5M7,85.12
A0A346PXS2,68.69
A0A160VRY3,94.0
A0A7J9RY41,80.88
A0A7C1P330,61.94
A0A160VSA6,88.44
A0A7J9P7M1,91.44
A0A1L3Q1U3,73.69
A0A7C3RBJ6,86.62
A0A7C5Y7Y0,96.56
A0A0C5Q0U4,73.31
A0A170S8Z5,86.25
A0A285F4G5,94.88
A0A7C4JK02,91.0
L9YDX2,43.94
A0A060BYQ9,95.5
G1CUD7,72.12
E4NTR6,90.44
A0A7C5TKX6,91.88
A0A7C4FI41,87.56
A0A7C4D6S5,89.0
A0A023W3F3,98.38
K4N500,98.38
X2G719,70.69
A0A7C4S679,90.88
A0A7C4I4D9,91.38
F7PK05,84.0
K4P5A0,71.62
E2FKT7,70.94
G1CV33,71.44
E4NQG6,89.44
E4NTB8,96.69
A0A7C4D2D0,82.75
A0A7C5XLI1,84.56
A0A7C4NM74,85.5
A0A024BLZ3,76.25
A0A7C4FCG3,95.31
A0A7C5XH19,93.44
A0A7C4JIU3,93.44
A0A7C5XG52,95.75
A0A7C4JLM2,60.34
A0A6S4LTE3,73.75
D3T201,85.06
F7PQE0,88.0
E4NRP1,97.31
E4NNF4,96.12
A0A7C4D0M9,91.88
D3SYV7,94.0
A0A497ERF2,47.19
F8VC57,86.0
E4NNP0,96.88
A0A7C4WCY5,73.12
A0A7C4BA39,94.06
A0A7C3WJB1,83.75
A0A7C5XNA3,89.69
A0A7C5XJX6,88.62
D3T136,96.31
F7PJR2,86.06
Q9V2U0,79.88
D8J558,92.06
A0A285GED2,92.31
A0A1N7E7Q7,94.75
B3T4E6,93.75
A0A1N7FU12,96.5
A0A1N6Y0B1,96.44
Q3I2L8,71.06
D8J2Q2,90.75
D8J5I4,97.31
A0A1L3Q0W0,94.31
A0A447IU23,93.62
A0A410HWM7,97.25
D8J804,81.88
A0A1N5VUF5,92.56
A0A1L3Q201,87.81
A0A830FF35,93.19
A0A0K1SLV8,67.94
D8J6S6,84.19
D8J6Y6,94.81
A0A285GD75,94.44
A0A1L5YJY4,97.88
A0A1H2WSS7,81.19
A0A1N7CL89,92.38
A0A160VQI6,92.69
A0A1N5TPP1,85.5
A0A830FUL2,94.69
D8J6N6,88.81
A0A1L3Q2X2,80.69
A0A1H6C265,84.56
A0A1H5V8Y0,63.44
L0JUA3,61.78
L0ADC9,84.38
A0A1H5ZS46,90.19
D3GBK3,72.25
A0A1H5SUI5,83.62
A0A0K1YBF7,68.56
A0A0K1SIA9,84.19
L0AIQ0,80.19
L0AG76,93.88
X5CC45,73.94
L0AIM9,84.19
A0A2S1TPW0,68.75
L0JKR1,69.12
A0A1H5ZBZ1,96.75
L0AI44,88.94
E2GDN8,67.0
A9A898,82.38
A0A0H4TQR8,89.38
Q9UZA6,90.69
A0A7J3I7W5,96.44
A0A7J3Z787,64.69
A0A7C5XNQ0,96.81
A0A7C4HCU9,84.44
A0A1N5RZP4,90.5
A0A0Q2M596,82.69
L0JIP5,94.12
F7PLB8,75.56
A0A1I6X695,88.62
A0A7J3ZLC0,78.88
A0A7J3KEW4,96.56
A0A7C4S674,94.81
A0A482T1U2,66.19
A0A7J3Z4Z9,94.81
E4NWP9,94.5
A0A7C2V9A2,90.94
A0A7C4JNH3,73.44
Q47949,97.19
L0AMS9,78.75
D3T1V8,91.19
F7PHQ2,92.88
F7PK07,88.31
E5FG11,45.38
A0A7C1CEG6,95.5
A0A7C2FPF5,95.06
A0A1N7DMJ8,72.88
A0A1L3Q2L8,96.81
A0A023UJI4,98.5
A0A7J3ZM53,91.0
A0A7J2U475,63.25
A0A7J3I6C1,92.0
E4NUC1,97.56
A0A7C3YPD7,89.12
A0A7C4BCQ1,90.06
A0A7C1CG88,92.19
A0A0A0VCN2,97.81
L0AGN9,71.44
A0A7J3I8B0,90.38
A0A7J2U491,85.75
G1CTZ0,72.69
A0A7C4S8X6,81.56
A0A7C1PM53,95.5
A0A7C4JKH9,92.5
A0A7C5Q7J7,86.44
A0A7C5LAA9,68.0
A0A7C4I671,91.31
A0A285FT89,94.44
A0A0A0VCP9,92.69
H5SNQ8,96.94
A0A0Q2XM72,97.19
L0JNC6,93.81
D3SZC2,92.94
A0A7J3M2B4,71.19
A0A7C3UH74,96.44
A0A7C4D2F7,85.81
A0A3R5X0C2,64.0
H9BWV0,91.75
A0A0H4TMZ5,84.0
H9TG61,83.06
A6VIB4,92.69
A0A2Z2KY16,74.88
F6N3C2,75.69
A0A0H4T5S3,90.81
A0A088E6S8,92.25
A0A0A7UYP4,76.75
A0A0A7V2F3,94.69
H9NMV6,83.5
A0A150IN48,94.19
A0A150J1N9,96.75
A6VGW4,56.88
A0A146KW24,69.06
Q64CH3,69.81
A0A0M9AP62,67.75
B6S4M0,68.81
A0A088E5Y1,91.25
A0A090I7L3,92.44
A0A0A7UYI7,92.5
A0A150IZ75,76.44
A0A5N5U5U2,85.44
D2TFS0,98.44
A0A088MT75,73.81
A0A0A7UZI4,94.19
B6S3A5,75.5
A0A2Z2L557,72.88
A0A5H2VI44,70.56
Q64CK0,88.69
A6VK68,82.62
L0AKU7,91.75
A0A371R1P0,97.0
C5IHY3,65.19
A0A0Q2XP51,97.19
M0IZT8,91.56
C5NSD0,90.88
A0A0A1EER6,73.19
A0A1L3Q3I3,93.56
A0A0A0WCL2,98.31
Q6PN96,31.2
A0A650CFQ5,66.19
Q2QAM7,81.06
L0ALR3,94.38
A0A0A7V289,92.69
S6AV09,73.38
L0BAE8,71.12
A0A1N7BP72,72.69
A0A1L3Q2M3,89.88
A0A7C4FBJ5,81.88
A0A7C5XHC7,92.19
A0A7C4NRY7,89.19
E5KJZ9,94.88
A0A7C4H922,88.69
A0A7C1I202,93.56
A0A7C4JK62,90.38
A0A7C4NLQ8,95.38
A0A7C4D7C5,93.44
A0A7C5YG26,79.31
A0A7J4K232,95.06
A0A7C4B9F5,95.0
A0A7C5UVQ0,94.69
A0A7C4NSH9,89.56
A0A7C2FHK0,96.5
A0A7C2BKT3,82.88
Q0ZCM3,77.38
A0A4D6HGN0,89.88
G1FEU0,91.56
A0A7C5TLR0,92.12
A0A7C4E1G7,83.75
A0A7J9PDB2,87.5
G0T780,69.56
E4NPJ0,84.5
A0A7C4NT27,82.94
A0A7C2SQ65,79.88
A0A7C4D995,95.0
A0A7C5QCH9,87.88
A0A7C4E059,88.31
Q54319,88.12
E4NU71,93.69
A0A7C5TGX0,89.75
A0A7C5TGK0,92.0
A0A7C4H8W7,86.31
A0A7C3EWZ8,75.0
Q9UZI9,93.38
A0A7C4CZY9,96.12
A0A7C5UWE8,89.31
A0A7C4I387,76.19
A0A0C5B4C0,71.44
A0A7J9P5C8,96.5
A0A7J9PRJ7,90.69
A0A7J3VTU0,91.75
E4NM29,94.0
A0A7C4JKY8,85.69
A0A7C3YPB1,82.56
